order,RegNo,order,genus database,species database,latitude,longitude,sex dissect,predicted sex/reason,confidence,svl,SVL2,tail length,tail length2,ratio,tail shape,midbody diameter,midbody diameter2,midtail diameter,midtail diameter2,head width,head width2,head depth,head depth2,ant nostril to ant eyes,ant nostril to ant eyes2,distance between eyes (closest),distance between eyes (closest)2,distance from forehead between eyes to snout,distance from forehead between eyes to snout2,lower lip to snout,lower lip to snout2,mouth width,mouth width2,tip of mouth to head depth,tip of mouth to head depth2,X-RAY?,Xray Done,precloacal_vert,postcloacal_vert,X-RAY skull length,Notes,sex database,jar note,database svl,remeasure?,tissue,age,age literature,plainNumber,photograph
75,j27387,75,Anilios,silvia,-25.96666667,153.1166667,NA,NA,,154.0,,5.5,,0.036,pointy,3.68,3.73,2.51,2.74,2.75,2.77,2.08,2.24,1.42,1.60,1.95,2.02,1.85,1.96,0.87,0.81,1.46,1.58,1.46,1.59,y,y,167,9,3.68,holotype,,,,,,,,,Yes
76,j63736,76,Anilios,robertsi,-15.83333333,145.2333333,NA,NA,,277.0,278.00,4.5,5.00,0.016,pointy,4.54,4.47,2.77,2.92,3.00,2.89,2.84,2.86,1.39,1.43,2.00,2.18,1.69,2.00,1.12,1.19,1.94,1.91,1.71,1.90,y,y,283,8,5.33,holotype,,,,,,,,,"Yes, sil in photo name by mistake"
77,j7,77,Anilios,aspina,-23.28333333,145.4,NA,NA,,280.0,275.00,3.0,,0.011,no spine,3.03,3.14,2.27,2.34,2.46,2.54,1.57,1.60,1.37,1.36,1.85,1.83,1.73,1.58,0.79,0.65,0.99,0.99,1.29,1.40,y,y,,,4.47,paratype,,,,,,,,,Yes
78,j51541,78,Anilios,aspina,-23.45,145.2666667,NA,NA,,230.0,,5.5,,0.024,no spine,3.80,,2.76,,2.54,2.52,1.67,1.56,1.33,1.38,1.98,1.96,1.47,1.54,1.11,1.00,1.20,1.25,1.32,1.37,y,y,247,12,4.52,holotype,,,,,,,,,Yes
79,j54987,79,Anilios,insperatus,-27.81666667,152.6166667,NA,NA,,93.7,,2.9,,0.031,pointy,2.63,2.70,1.97,1.96,1.83,1.93,1.66,1.55,1.02,1.05,1.67,1.69,1.57,1.68,0.82,0.79,1.01,0.94,1.17,1.23,y,y,,,3.80,holotype,,,,,,,,,Yes
80,J31963,80,Anilios,chamodracaena,-12.55,141.8166667,male,"teste? Juvenile, very small",yes,157.0,,4.0,,0.025,pointy,2.44,2.30,1.95,1.81,1.85,1.91,1.45,1.42,1.04,1.06,1.44,1.46,1.47,1.48,0.81,0.73,0.94,0.89,1.08,1.12,y,y,,,3.77,paratype,,,,,,,,,Yes
81,j41550,81,Anilios,chamodracaena,-12.61666667,141.8666667,juvenile,"juvenile, too small",,106.0,,3.0,,0.028,pointy,1.69,1.60,1.51,1.43,1.64,1.70,1.18,1.28,0.70,0.68,1.16,1.09,1.33,1.22,0.76,0.69,0.66,0.70,0.85,0.91,y,y,,,1.04,paratype,,,,,,,,,Yes
82,j51980,82,Anilios,chamodracaena,-16.23333333,141.75,female,female based on tail?,tail,175.5,,2.5,,0.014,pointy,3.26,3.13,1.79,1.82,1.88,1.80,1.50,1.51,1.02,1.10,1.50,1.40,1.62,1.65,0.83,0.73,0.98,1.08,1.20,1.16,y,y,,,3.71,paratype,,,,,,,,,Yes
83,j39673,83,Anilios,chamodracaena,-13.08333333,141.95,female,female based on tail?,tail,205.0,205.00,2.5,2.50,0.012,pointy,2.60,2.55,1.94,1.94,2.15,2.11,1.57,1.53,1.29,1.13,1.59,1.59,1.48,1.46,0.68,0.73,0.97,0.90,1.29,1.27,y,y,,,3.84,paratype,,,,,,,,,Yes
84,j28082,84,Anilios,chamodracaena,-12.96666667,143.4833333,female,female based on tail?,tail,203.0,,3.5,,0.017,pointy,3.34,3.29,3.63,2.67,2.34,2.30,1.92,1.90,1.33,1.24,1.68,1.70,1.84,1.61,1.02,0.89,1.07,1.18,1.40,1.30,y,y,,,2.38,paratype,,,,,,,,,Yes
85,j40233,85,Anilios,chamodracaena,-13.08333333,141.95,female,female based on tail?,tail,154.0,155.00,2.0,,0.013,pointy,2.29,2.31,1.62,1.83,1.87,1.89,1.48,1.42,0.89,0.99,1.49,1.39,1.62,1.71,0.77,0.69,1.02,0.99,1.17,1.13,y,y,,,3.63,holotype,,,,,,,,,Yes
86,j2943,86,Anilios,diversus,-26.41666667,147.1166667,female,female based on tail?,tail,195.5,,4.0,,0.020,pointy,3.29,3.12,2.06,2.16,2.31,2.36,1.65,1.73,1.15,1.15,1.86,1.73,1.81,1.70,1.09,1.08,1.19,1.13,1.26,1.15,y,y,,,4.61,holotype,,,,,,,,,Yes
87,j76624,87,Anilios,wiedii,-26.57555556,148.7741667,female,eggs,yes,239.0,238.00,4.0,4.50,0.017,pointy,3.92,3.80,2.26,2.38,2.40,2.50,1.88,1.82,1.21,1.23,1.56,1.70,1.65,1.71,0.97,0.90,1.21,1.24,1.35,1.37,y,y,,,4.73,,,jar 2,,,,,,,Yes
88,j27592,88,Anilios,wiedii,-27.46666667,153.0166667,female,eggs,yes,253.5,253.50,6.0,6.00,0.024,pointy,4.10,4.08,3.04,2.98,2.76,2.79,2.19,2.30,1.75,1.61,2.12,2.14,2.21,2.18,1.24,1.44,1.88,1.90,1.80,1.99,y,y,,,5.36,,,jar 2,,,,,,,Yes
89,j84833,89,Anilios,wiedii,-27.46507141,152.8510633,female,based on tail and lack of testes,yes,202.0,202.00,3.5,3.50,0.017,pointy,3.54,3.68,2.78,2.63,2.55,2.34,1.75,1.60,1.34,1.38,1.91,1.95,1.77,1.68,0.90,0.88,1.37,1.22,1.37,1.35,y,y,197,15,4.59,,,jar 2,,,,,,,Yes
90,j25081,90,Anilios,wiedii,-28.03333333,151.9833333,female,eggs,yes,215.0,214.00,4.0,4.00,0.019,pointy,4.00,4.17,2.75,2.86,2.70,2.67,2.04,1.91,1.54,1.63,1.93,2.05,2.04,1.99,1.04,1.04,1.50,1.48,1.39,1.36,y,y,,,3.51,,,jar 2,,,,,,,Yes
91,j23961,91,Anilios,wiedii,-27.28333333,153,female,eggs,yes,259.0,259.00,5.0,5.00,0.019,pointy,4.93,4.85,3.46,3.51,3.28,3.36,2.70,2.81,1.61,1.65,2.49,2.52,2.18,2.17,1.24,1.34,1.99,2.03,2.15,2.12,y,y,,,5.42,,,jar 2,,,,,,,Yes
92,j43373,92,Anilios,wiedii,-24.13333333,149.8,male,testes,yes,215.0,356.00,7.5,7.50,0.035,pointy,3.39,3.56,2.82,2.95,2.34,2.41,2.09,2.04,1.32,1.33,1.78,1.80,1.96,1.84,1.07,1.08,1.51,1.52,1.47,1.38,y,y,211,11,4.95,,,jar 2,,,,,,,Yes
93,j69267,93,Anilios,wiedii,-23.75416667,151.115,male,"based on tail,lack of eggs, possible teste",yes,206.0,206.00,8.5,8.50,0.041,pointy,3.88,3.88,2.99,2.86,2.72,2.68,1.62,1.70,1.45,1.51,1.98,1.95,1.99,1.97,1.19,1.20,1.32,1.36,1.46,1.43,y,y,,,4.58,,,jar 2,,,,,,,Yes
94,j68759,94,Anilios,wiedii,-22.915,149.8291667,male,"testes, lack of eggs; organs a bit messed up",yes,159.0,160.00,6.0,6.00,0.038,pointy,3.77,3.76,2.56,2.60,2.42,2.38,1.53,1.51,1.29,1.42,1.88,1.75,1.94,1.94,0.96,0.93,1.09,1.07,1.15,1.22,y,y,,,4.07,,,jar 2,,,,,,,Yes
95,j9535,95,Anilios,wiedii,-30.98333333,150.25,female,eggs,yes,284.0,285.00,3.0,4.00,0.011,pointy,4.70,4.60,4.04,3.64,3.33,3.27,2.17,2.17,1.56,1.75,2.45,2.36,2.52,2.42,1.39,1.27,1.46,1.42,1.72,1.86,y,y,214,12,5.67,,,jar 1,,,,,,,Yes
96,j7855,96,Anilios,wiedii,-27.18333333,151.25,male,testes,yes,205.5,206.00,7.0,7.50,0.034,pointy,4.22,4.27,2.88,2.81,2.67,2.73,1.75,1.89,1.36,1.41,1.94,1.90,2.08,1.92,1.04,0.97,1.16,1.09,1.62,1.51,y,y,,,5.16,,,jar 1,,,,,,,Yes
97,j3207,97,Anilios,wiedii,-24.86666667,152.35,male,testes,yes,201.0,200.00,8.0,8.00,0.040,pointy,3.02,3.11,2.96,2.87,2.55,2.48,1.70,1.70,1.38,1.42,1.82,1.71,1.71,1.95,1.12,1.17,1.17,1.36,1.52,1.39,y,y,,,5.02,,,jar 1,,,,,,,Yes
98,j7468,98,Anilios,wiedii,-27.18333333,151.25,male,"testes, no eggs, tail",yes,196.0,196.00,8.0,8.00,0.041,pointy,3.45,3.30,3.28,3.07,2.54,2.59,1.76,1.75,1.44,1.42,1.90,1.94,1.93,1.73,1.17,1.20,1.37,1.35,1.50,1.41,y,y,,,4.17,,,jar 1,,,,,,,Yes
99,j85695,99,Anilios,yirrikalae,-18.7025,138.4852778,female,based on tail; possibly eggs via palpation,yes,315.0,315.00,5.0,5.50,0.016,pointy,5.42,5.49,4.37,4.15,3.83,3.86,3.22,3.53,2.62,2.59,2.75,2.73,3.52,3.62,1.89,1.89,2.18,2.20,2.33,2.45,y,y,210,20,7.93,messed up mouth; maybe hit by car,,1,,,,,,,Yes
100,j84363,100,Anilios,proximus,-26.86527778,151.8522222,female,eggs,yes,434.0,432.00,10.0,10.00,0.023,pointy,16.90,16.48,11.43,11.07,8.17,8.15,6.11,6.14,4.11,3.92,5.82,5.74,6.02,5.97,2.95,2.99,4.26,4.18,4.16,4.29,y,y,145,15,11.88,,,jar 10,,,,,,,Yes
101,j76618,101,Anilios,proximus,-24.96444444,147.9991667,female,based on tail,tail,220.0,219.00,4.0,4.00,0.018,pointy,7.11,7.17,4.25,4.10,4.26,4.46,3.08,2.88,2.34,2.50,3.28,3.12,3.49,3.42,1.59,1.55,2.25,2.10,2.22,2.13,y,y,,,7.47,,,jar 10,,,,,,,Yes
102,j87197,102,Anilios,proximus,-27.66507036,152.9677299,female,eggs,yes,330.0,327.00,6.5,6.50,0.020,pointy,9.13,9.95,6.34,6.15,6.12,6.21,4.10,4.08,3.51,3.62,4.61,4.58,4.45,4.55,2.05,2.22,2.75,2.97,3.36,3.48,y,y,173,10,9.21,,,jar 10,,,,,,,Yes
103,j76616,103,Anilios,proximus,-24.79944444,147.8897222,male,testes,yes,234.0,234.00,10.0,9.50,0.043,pointy,8.72,8.51,6.60,6.40,5.34,5.33,3.67,3.71,2.73,2.62,3.52,3.55,3.84,3.81,1.73,1.68,2.72,2.80,2.57,2.55,y,y,,,8.38,,,jar 10,,,,,,,Yes
104,j77667,104,Anilios,proximus,-23.75611111,149.1075,female,egg,yes,352.0,354.00,9.0,9.00,0.026,pointy,11.55,11.74,7.29,7.41,7.40,7.30,4.73,4.60,4.11,3.96,4.93,5.11,5.15,5.29,2.70,2.68,3.71,3.56,3.65,3.76,y,y,169,13,11.47,,,jar 10,,,,,,,Yes
105,j76615,105,Anilios,proximus,-24.79944444,147.8897222,female,"based on tail, ovaries",yes,245.0,245.00,4.0,4.00,0.016,pointy,8.20,8.18,5.48,5.26,6.06,5.98,4.08,3.98,3.55,3.17,4.07,4.47,3.91,4.28,1.99,1.91,2.29,2.50,3.04,3.06,y,y,,,8.41,,,jar 10,,,,,,,Yes
106,j62483,106,Anilios,proximus,-26.39138889,153.8175,male,testes,yes,219.0,219.00,10.5,10.50,0.048,pointy,7.73,7.74,6.41,6.41,5.73,5.75,3.79,3.70,3.46,3.32,4.04,3.97,4.67,4.57,2.19,2.13,2.50,2.53,2.19,2.14,y,y,169,10,9.33,,,jar 8,,,,,,,Yes
107,j62482,107,Anilios,proximus,-26.39138889,153.8175,female,no testes; glenn shea,yes,357.0,359.00,9.0,9.00,0.025,pointy,9.14,9.12,5.67,5.76,6.33,6.25,4.52,4.28,3.73,3.76,4.74,4.65,5.05,5.02,2.55,2.48,2.33,2.44,3.49,3.65,y,y,173,13,10.93,,,jar 8,,,,,,,Yes
108,j69357,108,Anilios,proximus,-25.05722222,148.2125,female,eggs,yes,414.0,414.00,10.0,10.00,0.024,pointy,13.59,13.70,9.21,9.53,8.56,8.51,5.94,6.19,3.68,3.83,6.07,5.83,5.22,5.37,2.87,2.79,4.18,4.19,4.23,4.38,y,y,171,14,11.82,,,jar 8,,,,,,,Yes
109,j89808,109,Anilios,proximus,-27.09055556,150.6575,male,no eggs/ovaries,yes,172.0,172.00,6.0,6.00,0.035,pointy,4.87,4.75,4.19,3.85,3.61,3.70,2.68,2.66,1.84,2.04,2.70,2.56,2.49,2.47,1.37,1.58,1.61,1.62,1.96,1.94,y,y,,,7.07,,,jar 10,,,,,,,Yes
110,j81309,110,Anilios,ligatus,-19.85361111,147.025,male,based on tail,tail,217.0,217.00,10.0,10.00,0.046,pointy,7.75,7.84,5.44,5.45,5.02,5.01,3.18,3.16,2.36,2.32,3.45,3.15,3.07,3.10,1.51,1.59,1.84,2.07,2.18,2.24,y,y,144,15,9.16,,,jar 6,,,,,,,Yes
111,j89804,111,Anilios,ligatus,-26.93972222,150.3761111,male,not dissected; based on tail,tail,211.0,211.00,9.5,9.50,0.045,pointy,8.67,8.60,6.04,6.40,5.60,4.38,4.12,3.60,2.55,2.65,3.52,3.09,3.73,3.44,1.79,1.89,3.97,3.74,2.57,2.43,y,y,141,18,10.93,,,jar 6,,,,,,,Yes
112,j87267,112,Anilios,ligatus,-16.59083333,145.1983333,male,hemipenes,yes,241.0,239.00,12.0,12.00,0.050,pointy,7.79,7.95,6.20,5.91,6.00,6.04,4.05,3.96,2.91,2.97,4.11,4.22,3.94,3.84,1.83,1.87,3.31,3.43,2.96,3.00,y,y,153,11,8.74,,,jar 6,,,,,,,Yes
113,j81321,113,Anilios,ligatus,-21.08388889,147.7927778,female?,based on tail? Double check,tail,254.0,254.00,8.5,8.50,0.033,pointy,10.08,10.25,5.74,6.02,6.52,6.46,4.04,4.30,3.05,3.04,4.39,4.34,3.94,3.73,1.94,1.94,3.38,3.25,2.61,2.64,y,y,151,13,10.66,,,jar 6,,,,,,,Yes
114,j89565,114,Anilios,ligatus,-27.66944444,152.5161111,female,not dissected; based on tail,tail,280.0,276.50,9.0,9.00,0.032,pointy,8.15,8.69,6.14,6.32,6.51,6.53,4.37,4.38,3.49,3.15,4.55,4.44,4.02,4.19,1.93,1.92,3.89,3.64,3.06,2.85,y,y,148,13,11.30,,,jar 6,,,,,,,Yes
115,j85319,115,Anilios,unguirostris,-21.7705,147.92236,female,not dissected; based on tail,tail,281.0,281.00,5.0,5.00,0.018,pointy,5.89,5.79,3.94,3.64,3.74,3.80,2.86,2.70,2.52,2.49,2.96,2.91,3.68,3.58,2.05,2.04,1.74,1.73,2.02,2.16,y,y,180,9,5.96,,,jar 2,,,,,,,Yes
116,j76932,116,Anilios,unguirostris,-22.71666667,147.5216667,female,based on tail,tail,338.0,338.00,5.0,5.00,0.015,pointy,8.26,8.60,5.46,5.06,4.88,5.15,3.48,3.35,2.68,2.66,3.05,3.15,4.07,4.09,2.52,2.49,2.74,2.73,2.51,2.66,y,y,200,11,8.28,,,jar 2,,,,,,,Yes
117,j88951,117,Anilios,unguirostris,-16.66138889,139.18,male,hemipemes,yes,319.0,318.00,8.0,8.00,0.025,pointy,6.01,5.66,4.82,5.22,4.08,4.15,3.23,2.99,2.18,2.23,2.54,2.59,3.54,3.58,1.98,1.91,2.38,2.34,2.09,2.11,y,y,204,10,7.53,,,jar 2,,,,,,,Yes
118,j96911,118,Anilios,unguirostris,-23.2335,150.699,female,based on tail,tail,294.0,294.00,4.0,4.00,0.014,pointy,6.25,6.43,3.33,3.00,3.98,3.96,2.95,2.92,2.78,2.71,2.74,2.63,3.97,3.96,2.09,2.15,1.76,1.67,2.12,2.27,y,y,209,10,7.78,,,jar 2,,,,,,,Yes
