order,RegNo,order,genus database,species database,latitude,longitude,sex dissect,predicted sex/reason,confidence,svl,SVL2,tail length,tail length2,ratio,tail shape,midbody diameter,midbody diameter2,midtail diameter,midtail diameter2,head width,head width2,head depth,head depth2,ant nostril to ant eyes,ant nostril to ant eyes2,distance between eyes (closest),distance between eyes (closest)2,distance from forehead between eyes to snout,distance from forehead between eyes to snout2,lower lip to snout,lower lip to snout2,mouth width,mouth width2,tip of mouth to head depth,tip of mouth to head depth2,X-RAY?,Xray Done,precloacal_vert,postcloacal_vert,X-RAY skull length,Notes,sex database,jar note,database svl,remeasure?,tissue,age,age literature,plainNumber,photograph
18,j81301,18,Anilios,affinis,-20.69777778,147.6983333,male,tail,tail,197.0,196.00,8.0,7.00,0.041,pointy,3.31,3.16,2.48,2.23,1.99,1.94,1.26,1.32,1.07,1.07,1.69,1.43,1.75,1.78,0.94,0.97,1.10,1.19,1.18,1.13,y,y,,,3.47,,,1,,,,,,,Yes
19,j23870,19,Anilios,affinis,-27.56666667,152.8833333,female,tail,tail,203.0,207.00,4.0,4.00,0.020,pointy,2.92,2.82,3.22,3.14,2.41,2.45,1.78,1.83,1.35,1.15,1.93,1.88,2.38,2.47,1.22,1.16,1.33,1.31,1.35,1.40,y,y,218,13,4.73,,,1,,,,,,,Yes
20,j70008,20,Anilios,affinis,-27.69694444,152.8638889,male,hemipenes,yes,167.0,168.00,8.0,8.00,0.048,pointy,2.82,2.52,2.50,2.43,2.20,2.15,1.85,1.85,1.10,1.18,1.89,1.93,2.04,1.90,1.13,1.12,1.19,1.34,1.23,1.20,y,y,,,4.74,,,1,,,,,,,Yes
21,j91822,21,Anilios,aspina,-20.76805556,141.7416667,male,tail,tail,240.0,239.00,6.0,6.00,0.025,no spine,3.53,3.76,2.65,2.54,2.39,2.38,1.81,1.72,1.17,1.10,1.89,1.71,1.84,1.90,0.73,0.79,1.09,1.10,1.12,1.10,y,y,,,4.77,,,1,,,,,,,Yes
22,j67159,22,Anilios,chamodracaena,-12.61805556,141.9847222,female,tail,tail,185.0,190.00,4.0,4.50,0.022,pointy,2.79,2.75,2.55,2.58,2.05,1.98,1.34,1.26,1.07,1.11,1.73,1.68,1.76,1.54,0.71,0.78,1.18,1.16,1.21,1.18,y,y,,,3.74,,,1,,,,,,,Yes
23,j91848,23,Anilios,chamodracaena,-15.07333333,141.815,NA,,,127.0,,,,0.000,,,,,,,,,,,,,,,,,,,,,,y,y,,,,"specimen missing head or tail, in bad shape",,1,,,,,,,
24,j87535,24,Anilios,leucoproctus,-9.947222222,142.1958333,female,eggs,yes,218.0,218.00,8.0,8.00,0.037,pointy,4.24,4.39,3.04,3.08,2.28,2.49,2.04,1.97,1.23,1.31,2.04,2.12,1.55,1.57,1.09,1.21,1.62,1.54,1.33,1.44,y,y,,,4.70,,,1,,,,,,,Yes
25,j87198,25,Anilios,leucoproctus,-10.18185649,142.2677632,female,tail or eggs,yes,161.0,160.00,5.0,5.00,0.031,pointy,2.81,2.72,2.03,1.90,2.01,1.91,1.38,1.39,0.90,1.08,1.29,1.21,1.47,1.35,0.82,0.99,1.13,1.05,0.95,1.00,y,y,,,3.95,,,1,,,,,,,Yes
26,j379,26,Anilios,leucoproctus,-9.583333333,143.7666667,female,egg,yes,177.0,178.00,5.0,5.00,0.028,pointy,2.74,2.79,2.02,2.11,2.69,2.47,1.39,1.43,1.25,1.33,2.04,2.01,1.51,1.48,0.70,0.80,1.33,1.34,1.25,1.14,y,y,,,4.03,,,1,,,,,,,Yes
27,j87172,27,Anilios,leucoproctus,-10.68185393,142.1844325,male,twstes,yes,143.0,142.00,6.0,6.00,0.042,pointy,2.57,2.54,2.42,2.36,1.94,1.87,1.24,1.29,1.06,1.09,1.43,1.50,1.33,1.32,0.60,0.70,1.04,1.01,0.86,0.83,y,y,,,3.50,,,1,,,,,,,Yes
