order,RegNo,genus database,species database,latitude,longitude,sex dissect,predicted sex/reason,confidence,jar note,X-RAY?,Xray Done,X-RAY Vertebrae #,X-RAY skull length,photograph,svl,SVL2,tail length,tail length2,ratio,tail shape,midbody diameter,midbody diameter2,midtail diameter,midtail diameter2,head width,head width2,head depth,head depth2,ant nostril to ant eyes,ant nostril to ant eyes2,distance between eyes (closest),distance between eyes (closest)2,distance from forehead between eyes to snout,distance from forehead between eyes to snout2,lower lip to snout,lower lip to snout2,mouth width,mouth width2,tip of mouth to head depth,tip of mouth to head depth2,Notes,sex database,database svl,ryan's svl,remeasure?,tissue,age,age literature,plainNumber,xray
1,R.148795,Anilios,proximus,-17.38,145.38,,,,,y,y,,,y,480.00,482.00,11.00,11.00,0.02,pointy,12.69,12.69,9.90,9.16,7.82,7.84,5.18,5.22,4.32,4.00,5.53,5.90,6.47,6.25,3.00,2.94,3.43,3.41,4.10,4.41,,,,,,,,,,
,,Anilios,cf_grypus,,,male,testis?,yes,,,,,,,266.00,266.00,4.00,4.00,,,3.62,3.66,2.24,2.23,2.28,2.39,1.64,1.54,1.14,1.08,1.48,1.41,2.26,2.12,1.05,1.04,1.05,1.13,1.17,1.21,grypus cf eastern lineage,,,,,,,,,
,SMZ9364,Anilios,broomi,,,female,egg,yes,,,,,,,207.00,207.00,4.00,4.00,,,4.27,4.07,2.80,2.53,2.56,2.59,1.69,1.84,1.33,1.31,1.63,1.66,1.79,1.87,0.88,0.84,1.07,1.01,1.52,1.45,,,,,,,,,,
,,Anilios,nigrescens,,,female,egg,yes,,,,,,,365.00,,10.00,10.00,,,8.43,8.43,5.94,0.39,5.68,5.57,3.96,3.78,2.91,2.71,4.16,4.25,3.10,3.52,2.04,1.86,3.16,2.94,2.70,2.88,,,,,,,,,,
,,Anilios,nigrescens,,,female,egg,yes,,,,,,,244.00,244.00,5.00,5.00,,,5.92,5.73,3.83,3.66,3.99,4.18,2.67,2.60,2.21,2.12,2.87,3.06,2.80,2.74,1.68,1.49,1.95,1.92,1.96,2.07,,,,,,,,,,
