 ,Label,Area,Mean,Min,Max,X,Y
1,ani_div_R51126.dcm,0.000,6450,6450,6450,58.618,24.948
2,ani_div_R51126.dcm,0.000,6864,6864,6864,59.108,25.521
3,ani_div_R51126.dcm,0.000,6956,6956,6956,59.502,26.059
4,ani_div_R51126.dcm,0.000,6487,6487,6487,59.860,26.656
5,ani_div_R51126.dcm,0.000,5929,5929,5929,60.291,27.254
6,ani_div_R51126.dcm,0.000,6774,6774,6774,60.697,27.887
7,ani_div_R51126.dcm,0.000,7323,7323,7323,61.115,28.592
8,ani_div_R51126.dcm,0.000,5468,5468,5468,61.569,29.321
9,ani_div_R51126.dcm,0.000,6359,6359,6359,61.927,30.026
10,ani_div_R51126.dcm,0.000,6405,6405,6405,62.238,30.814
11,ani_div_R51126.dcm,0.000,5657,5657,5657,62.549,31.615
12,ani_div_R51126.dcm,0.000,5672,5672,5672,62.824,32.499
13,ani_div_R51126.dcm,0.000,6591,6591,6591,63.039,33.300
14,ani_div_R51126.dcm,0.000,7135,7135,7135,63.254,34.184
15,ani_div_R51126.dcm,0.000,7293,7293,7293,63.421,35.175
16,ani_div_R51126.dcm,0.000,7142,7142,7142,63.540,36.072
17,ani_div_R51126.dcm,0.000,5803,5803,5803,63.648,37.015
18,ani_div_R51126.dcm,0.000,7179,7179,7179,63.636,37.959
19,ani_div_R51126.dcm,0.000,7006,7006,7006,63.612,38.891
20,ani_div_R51126.dcm,0.000,7883,7883,7883,63.600,39.823
21,ani_div_R51126.dcm,0.000,7165,7165,7165,63.540,40.755
22,ani_div_R51126.dcm,0.000,6963,6963,6963,63.385,41.699
23,ani_div_R51126.dcm,0.000,7909,7909,7909,63.242,42.667
24,ani_div_R51126.dcm,0.000,6792,6792,6792,63.027,43.611
25,ani_div_R51126.dcm,0.000,7172,7172,7172,62.752,44.567
26,ani_div_R51126.dcm,0.000,8105,8105,8105,62.549,45.511
27,ani_div_R51126.dcm,0.000,6822,6822,6822,62.214,46.455
28,ani_div_R51126.dcm,0.000,6498,6498,6498,61.975,47.470
29,ani_div_R51126.dcm,0.000,5615,5615,5615,61.665,48.462
30,ani_div_R51126.dcm,0.000,6408,6408,6408,61.378,49.442
31,ani_div_R51126.dcm,0.000,7782,7782,7782,61.055,50.421
32,ani_div_R51126.dcm,0.000,6424,6424,6424,60.792,51.425
33,ani_div_R51126.dcm,0.000,6311,6311,6311,60.506,52.453
34,ani_div_R51126.dcm,0.000,6807,6807,6807,60.255,53.504
35,ani_div_R51126.dcm,0.000,6717,6717,6717,60.064,54.555
36,ani_div_R51126.dcm,0.000,6582,6582,6582,59.837,55.583
37,ani_div_R51126.dcm,0.000,5940,5940,5940,59.657,56.682
38,ani_div_R51126.dcm,0.000,5317,5317,5317,59.502,57.781
39,ani_div_R51126.dcm,0.000,5962,5962,5962,59.120,58.821
40,ani_div_R51126.dcm,0.000,5026,5026,5026,58.857,59.920
41,ani_div_R51126.dcm,0.000,5853,5853,5853,58.367,60.948
42,ani_div_R51126.dcm,0.000,7427,7427,7427,57.901,61.951
43,ani_div_R51126.dcm,0.000,7582,7582,7582,57.280,62.907
44,ani_div_R51126.dcm,0.000,6466,6466,6466,56.599,63.827
45,ani_div_R51126.dcm,0.000,5744,5744,5744,55.702,64.783
46,ani_div_R51126.dcm,0.000,5611,5611,5611,54.950,65.584
47,ani_div_R51126.dcm,0.000,5935,5935,5935,54.125,66.324
48,ani_div_R51126.dcm,0.000,6276,6276,6276,53.265,67.101
49,ani_div_R51126.dcm,0.000,6572,6572,6572,52.405,67.830
50,ani_div_R51126.dcm,0.000,5636,5636,5636,51.353,68.487
51,ani_div_R51126.dcm,0.000,5751,5751,5751,50.326,69.072
52,ani_div_R51126.dcm,0.000,5998,5998,5998,49.286,69.562
53,ani_div_R51126.dcm,0.000,7760,7760,7760,48.127,69.909
54,ani_div_R51126.dcm,0.000,7883,7883,7883,46.873,70.016
55,ani_div_R51126.dcm,0.000,6820,6820,6820,45.654,69.921
56,ani_div_R51126.dcm,0.000,7541,7541,7541,44.519,69.754
57,ani_div_R51126.dcm,0.000,7763,7763,7763,43.384,69.777
58,ani_div_R51126.dcm,0.000,7469,7469,7469,42.201,69.801
59,ani_div_R51126.dcm,0.000,7388,7388,7388,40.982,69.789
60,ani_div_R51126.dcm,0.000,7711,7711,7711,39.740,69.646
61,ani_div_R51126.dcm,0.000,7447,7447,7447,38.569,69.311
62,ani_div_R51126.dcm,0.000,7571,7571,7571,37.434,68.798
63,ani_div_R51126.dcm,0.000,6023,6023,6023,36.287,68.081
64,ani_div_R51126.dcm,0.000,7211,7211,7211,35.283,67.448
65,ani_div_R51126.dcm,0.000,8525,8525,8525,34.255,66.647
66,ani_div_R51126.dcm,0.000,7422,7422,7422,33.335,65.727
67,ani_div_R51126.dcm,0.000,7096,7096,7096,32.642,64.723
68,ani_div_R51126.dcm,0.000,7719,7719,7719,31.961,63.696
69,ani_div_R51126.dcm,0.000,8495,8495,8495,31.304,62.680
70,ani_div_R51126.dcm,0.000,6904,6904,6904,30.659,61.653
71,ani_div_R51126.dcm,0.000,6070,6070,6070,29.942,60.709
72,ani_div_R51126.dcm,0.000,6948,6948,6948,29.285,59.729
73,ani_div_R51126.dcm,0.000,7435,7435,7435,28.461,58.785
74,ani_div_R51126.dcm,0.000,7411,7411,7411,27.684,57.817
75,ani_div_R51126.dcm,0.000,6770,6770,6770,26.860,56.861
76,ani_div_R51126.dcm,0.000,7505,7505,7505,26.059,55.918
77,ani_div_R51126.dcm,0.000,7782,7782,7782,25.294,54.878
78,ani_div_R51126.dcm,0.000,10016,10016,10016,24.601,53.874
79,ani_div_R51126.dcm,0.000,8983,8983,8983,23.980,52.763
80,ani_div_R51126.dcm,0.000,8008,8008,8008,23.263,51.676
81,ani_div_R51126.dcm,0.000,9596,9596,9596,22.749,50.553
82,ani_div_R51126.dcm,0.000,9766,9766,9766,22.212,49.406
83,ani_div_R51126.dcm,0.000,8495,8495,8495,21.865,48.175
84,ani_div_R51126.dcm,0.000,9413,9413,9413,21.531,46.968
85,ani_div_R51126.dcm,0.000,9841,9841,9841,21.256,45.726
86,ani_div_R51126.dcm,0.000,8088,8088,8088,21.100,44.447
87,ani_div_R51126.dcm,0.000,7759,7759,7759,21.029,43.145
88,ani_div_R51126.dcm,0.000,7669,7669,7669,21.017,41.914
89,ani_div_R51126.dcm,0.000,7746,7746,7746,21.100,40.648
90,ani_div_R51126.dcm,0.000,7242,7242,7242,21.256,39.417
91,ani_div_R51126.dcm,0.000,7235,7235,7235,21.471,38.127
92,ani_div_R51126.dcm,0.000,7500,7500,7500,21.770,36.860
93,ani_div_R51126.dcm,0.000,8200,8200,8200,22.092,35.701
94,ani_div_R51126.dcm,0.000,8779,8779,8779,22.534,34.542
95,ani_div_R51126.dcm,0.000,8501,8501,8501,23.048,33.371
96,ani_div_R51126.dcm,0.000,7305,7305,7305,23.634,32.248
97,ani_div_R51126.dcm,0.000,8028,8028,8028,24.279,31.137
98,ani_div_R51126.dcm,0.000,8890,8890,8890,24.960,30.121
99,ani_div_R51126.dcm,0.000,8988,8988,8988,25.701,29.070
100,ani_div_R51126.dcm,0.000,9402,9402,9402,26.513,28.078
101,ani_div_R51126.dcm,0.000,7632,7632,7632,27.469,27.170
102,ani_div_R51126.dcm,0.000,8272,8272,8272,28.365,26.274
103,ani_div_R51126.dcm,0.000,8259,8259,8259,29.309,25.474
104,ani_div_R51126.dcm,0.000,6259,6259,6259,30.372,24.637
105,ani_div_R51126.dcm,0.000,7257,7257,7257,31.412,23.944
106,ani_div_R51126.dcm,0.000,6275,6275,6275,32.583,23.227
107,ani_div_R51126.dcm,0.000,7354,7354,7354,33.670,22.630
108,ani_div_R51126.dcm,0.000,8874,8874,8874,34.853,22.080
109,ani_div_R51126.dcm,0.000,7149,7149,7149,36.119,21.686
110,ani_div_R51126.dcm,0.000,7821,7821,7821,37.278,21.304
111,ani_div_R51126.dcm,0.000,7283,7283,7283,38.557,21.005
112,ani_div_R51126.dcm,0.000,8828,8828,8828,39.811,20.802
113,ani_div_R51126.dcm,0.000,7533,7533,7533,41.090,20.766
114,ani_div_R51126.dcm,0.000,7267,7267,7267,42.404,20.730
115,ani_div_R51126.dcm,0.000,7720,7720,7720,43.730,20.802
116,ani_div_R51126.dcm,0.000,9657,9657,9657,44.937,20.993
117,ani_div_R51126.dcm,0.000,8240,8240,8240,46.180,21.363
118,ani_div_R51126.dcm,0.000,8216,8216,8216,47.363,21.782
119,ani_div_R51126.dcm,0.000,10226,10226,10226,48.545,22.259
120,ani_div_R51126.dcm,0.000,8867,8867,8867,49.681,22.941
121,ani_div_R51126.dcm,0.000,7351,7351,7351,50.756,23.729
122,ani_div_R51126.dcm,0.000,8447,8447,8447,51.771,24.470
123,ani_div_R51126.dcm,0.000,9158,9158,9158,52.680,25.378
124,ani_div_R51126.dcm,0.000,9379,9379,9379,53.564,26.286
125,ani_div_R51126.dcm,0.000,8399,8399,8399,54.352,27.302
126,ani_div_R51126.dcm,0.000,8215,8215,8215,55.105,28.317
127,ani_div_R51126.dcm,0.000,7820,7820,7820,55.798,29.464
128,ani_div_R51126.dcm,0.000,8888,8888,8888,56.348,30.587
129,ani_div_R51126.dcm,0.000,8998,8998,8998,56.790,31.746
