 ,Label,Area,Mean,Min,Max,X,Y
86,R173075-(0001)-.dcm,0.000,2596,2596,2596,49.260,58.035
87,R173075-(0001)-.dcm,0.000,2603,2603,2603,48.863,57.470
88,R173075-(0001)-.dcm,0.000,2789,2789,2789,48.482,56.936
89,R173075-(0001)-.dcm,0.000,2678,2678,2678,48.131,56.295
90,R173075-(0001)-.dcm,0.000,2878,2878,2878,47.925,55.578
91,R173075-(0001)-.dcm,0.000,2803,2803,2803,47.719,54.975
92,R173075-(0001)-.dcm,0.000,2885,2885,2885,47.574,54.250
93,R173075-(0001)-.dcm,0.000,2848,2848,2848,47.307,53.609
94,R173075-(0001)-.dcm,0.000,2828,2828,2828,47.032,52.999
95,R173075-(0001)-.dcm,0.000,2782,2782,2782,46.765,52.411
96,R173075-(0001)-.dcm,0.000,2765,2765,2765,46.322,51.801
97,R173075-(0001)-.dcm,0.000,2825,2825,2825,45.971,51.160
98,R173075-(0001)-.dcm,0.000,2778,2778,2778,45.674,50.549
99,R173075-(0001)-.dcm,0.000,2736,2736,2736,45.422,49.939
100,R173075-(0001)-.dcm,0.000,2810,2810,2810,45.186,49.214
101,R173075-(0001)-.dcm,0.000,2765,2765,2765,45.041,48.474
102,R173075-(0001)-.dcm,0.000,2624,2624,2624,44.911,47.757
103,R173075-(0001)-.dcm,0.000,2774,2774,2774,44.789,47.101
104,R173075-(0001)-.dcm,0.000,2513,2513,2513,44.514,46.422
105,R173075-(0001)-.dcm,0.000,2692,2692,2692,44.308,45.811
106,R173075-(0001)-.dcm,0.000,2847,2847,2847,44.003,45.186
107,R173075-(0001)-.dcm,0.000,2954,2954,2954,43.759,44.575
108,R173075-(0001)-.dcm,0.000,2856,2856,2856,43.461,43.988
109,R173075-(0001)-.dcm,0.000,2743,2743,2743,43.164,43.453
110,R173075-(0001)-.dcm,0.000,2820,2820,2820,42.858,42.919
111,R173075-(0001)-.dcm,0.000,2945,2945,2945,42.469,42.500
112,R173075-(0001)-.dcm,0.000,2698,2698,2698,42.111,41.981
113,R173075-(0001)-.dcm,0.000,2912,2912,2912,41.828,41.393
114,R173075-(0001)-.dcm,0.000,2800,2800,2800,41.477,40.966
115,R173075-(0001)-.dcm,0.000,2734,2734,2734,41.126,40.417
116,R173075-(0001)-.dcm,0.000,2636,2636,2636,40.775,39.967
117,R173075-(0001)-.dcm,0.000,2844,2844,2844,40.363,39.348
118,R173075-(0001)-.dcm,0.000,2236,2236,2236,40.020,38.952
119,R173075-(0001)-.dcm,0.000,2634,2634,2634,39.623,38.341
120,R173075-(0001)-.dcm,0.000,2746,2746,2746,39.097,37.906
