 ,Label,Area,Mean,Min,Max,X,Y
1,ani_lig_R00050.dcm,0.000,3956,3956,3956,80.209,58.969
2,ani_lig_R00050.dcm,0.000,3786,3786,3786,80.225,58.232
3,ani_lig_R00050.dcm,0.000,3094,3094,3094,80.209,57.431
4,ani_lig_R00050.dcm,0.000,2736,2736,2736,80.209,56.326
5,ani_lig_R00050.dcm,0.000,3173,3173,3173,80.241,55.205
6,ani_lig_R00050.dcm,0.000,3629,3629,3629,80.064,54.036
7,ani_lig_R00050.dcm,0.000,2927,2927,2927,79.920,52.674
8,ani_lig_R00050.dcm,0.000,2556,2556,2556,79.728,51.313
9,ani_lig_R00050.dcm,0.000,3266,3266,3266,79.424,50.063
10,ani_lig_R00050.dcm,0.000,3134,3134,3134,79.039,48.670
11,ani_lig_R00050.dcm,0.000,3060,3060,3060,78.559,47.292
12,ani_lig_R00050.dcm,0.000,3768,3768,3768,77.982,46.043
13,ani_lig_R00050.dcm,0.000,3654,3654,3654,77.229,44.681
14,ani_lig_R00050.dcm,0.000,3191,3191,3191,76.701,43.320
15,ani_lig_R00050.dcm,0.000,2954,2954,2954,76.012,41.894
16,ani_lig_R00050.dcm,0.000,3384,3384,3384,75.243,40.517
17,ani_lig_R00050.dcm,0.000,3506,3506,3506,74.378,39.155
18,ani_lig_R00050.dcm,0.000,3264,3264,3264,73.433,37.890
19,ani_lig_R00050.dcm,0.000,3273,3273,3273,72.328,36.656
20,ani_lig_R00050.dcm,0.000,2745,2745,2745,71.143,35.455
21,ani_lig_R00050.dcm,0.000,2951,2951,2951,70.053,34.190
22,ani_lig_R00050.dcm,0.000,2676,2676,2676,68.836,32.972
23,ani_lig_R00050.dcm,0.000,2087,2087,2087,67.571,31.915
24,ani_lig_R00050.dcm,0.000,2555,2555,2555,66.241,30.794
25,ani_lig_R00050.dcm,0.000,3393,3393,3393,64.752,29.817
26,ani_lig_R00050.dcm,0.000,2468,2468,2468,63.214,29.064
27,ani_lig_R00050.dcm,0.000,2501,2501,2501,61.532,28.263
28,ani_lig_R00050.dcm,0.000,2316,2316,2316,59.834,27.574
29,ani_lig_R00050.dcm,0.000,3913,3913,3913,58.088,27.110
30,ani_lig_R00050.dcm,0.000,3198,3198,3198,56.182,26.726
31,ani_lig_R00050.dcm,0.000,3307,3307,3307,54.388,26.373
32,ani_lig_R00050.dcm,0.000,3477,3477,3477,52.642,26.101
33,ani_lig_R00050.dcm,0.000,3927,3927,3927,50.784,25.909
34,ani_lig_R00050.dcm,0.000,3915,3915,3915,48.990,25.925
35,ani_lig_R00050.dcm,0.000,4293,4293,4293,47.116,26.053
36,ani_lig_R00050.dcm,0.000,4160,4160,4160,45.258,26.021
37,ani_lig_R00050.dcm,0.000,3350,3350,3350,43.400,26.085
38,ani_lig_R00050.dcm,0.000,2839,2839,2839,41.430,26.485
39,ani_lig_R00050.dcm,0.000,2695,2695,2695,39.652,26.774
