 ,Label,Area,Mean,Min,Max,X,Y
1,ani_lig_R00050.dcm,0.000,4222,4222,4222,83.242,61.325
2,ani_lig_R00050.dcm,0.000,3188,3188,3188,83.375,60.675
3,ani_lig_R00050.dcm,0.000,3220,3220,3220,83.508,59.692
4,ani_lig_R00050.dcm,0.000,2885,2885,2885,83.525,58.592
5,ani_lig_R00050.dcm,0.000,3804,3804,3804,83.488,57.475
6,ani_lig_R00050.dcm,0.000,4104,4104,4104,83.363,56.200
7,ani_lig_R00050.dcm,0.000,3702,3702,3702,83.250,54.850
8,ani_lig_R00050.dcm,0.000,3279,3279,3279,83.013,53.475
9,ani_lig_R00050.dcm,0.000,3266,3266,3266,82.663,52.113
10,ani_lig_R00050.dcm,0.000,3264,3264,3264,82.350,50.738
11,ani_lig_R00050.dcm,0.000,3640,3640,3640,81.775,49.288
12,ani_lig_R00050.dcm,0.000,3613,3613,3613,81.088,47.963
13,ani_lig_R00050.dcm,0.000,4666,4666,4666,80.400,46.562
14,ani_lig_R00050.dcm,0.000,3716,3716,3716,79.750,45.100
15,ani_lig_R00050.dcm,0.000,2539,2539,2539,79.113,43.463
16,ani_lig_R00050.dcm,0.000,3630,3630,3630,78.350,42.062
17,ani_lig_R00050.dcm,0.000,3054,3054,3054,77.363,40.750
18,ani_lig_R00050.dcm,0.000,3520,3520,3520,76.438,39.438
19,ani_lig_R00050.dcm,0.000,3273,3273,3273,75.225,38.125
20,ani_lig_R00050.dcm,0.000,3577,3577,3577,74.112,36.875
21,ani_lig_R00050.dcm,0.000,2737,2737,2737,72.825,35.587
22,ani_lig_R00050.dcm,0.000,3087,3087,3087,71.688,34.337
23,ani_lig_R00050.dcm,0.000,2228,2228,2228,70.400,33.300
24,ani_lig_R00050.dcm,0.000,2178,2178,2178,68.938,32.138
25,ani_lig_R00050.dcm,0.000,2193,2193,2193,67.400,31.150
26,ani_lig_R00050.dcm,0.000,2174,2174,2174,65.675,30.225
27,ani_lig_R00050.dcm,0.000,2941,2941,2941,64.125,29.375
28,ani_lig_R00050.dcm,0.000,2637,2637,2637,62.200,28.675
29,ani_lig_R00050.dcm,0.000,3755,3755,3755,60.425,28.250
30,ani_lig_R00050.dcm,0.000,4192,4192,4192,58.638,27.812
31,ani_lig_R00050.dcm,0.000,3451,3451,3451,56.675,27.513
32,ani_lig_R00050.dcm,0.000,3459,3459,3459,54.725,27.188
33,ani_lig_R00050.dcm,0.000,3679,3679,3679,52.838,26.988
34,ani_lig_R00050.dcm,0.000,4045,4045,4045,51.025,26.950
35,ani_lig_R00050.dcm,0.000,3975,3975,3975,49.050,27.163
36,ani_lig_R00050.dcm,0.000,3063,3063,3063,47.275,27.225
37,ani_lig_R00050.dcm,0.000,3152,3152,3152,45.250,27.312
38,ani_lig_R00050.dcm,0.000,3455,3455,3455,43.200,27.562
39,ani_lig_R00050.dcm,0.000,2594,2594,2594,41.325,27.900
40,ani_lig_R00050.dcm,0.000,2375,2375,2375,39.363,28.375
41,ani_lig_R00050.dcm,0.000,2303,2303,2303,37.438,29.062
42,ani_lig_R00050.dcm,0.000,3109,3109,3109,35.638,29.988
43,ani_lig_R00050.dcm,0.000,3335,3335,3335,33.962,31.150
44,ani_lig_R00050.dcm,0.000,3423,3423,3423,32.350,32.550
45,ani_lig_R00050.dcm,0.000,2877,2877,2877,30.975,34.013
46,ani_lig_R00050.dcm,0.000,2572,2572,2572,29.575,35.438
47,ani_lig_R00050.dcm,0.000,3577,3577,3577,28.000,36.988
48,ani_lig_R00050.dcm,0.000,2689,2689,2689,26.700,38.550
49,ani_lig_R00050.dcm,0.000,2199,2199,2199,25.550,40.275
50,ani_lig_R00050.dcm,0.000,3313,3313,3313,24.400,42.163
