 ,Label,Area,Mean,Min,Max,X,Y
1,ani_lig_R00050.dcm,0.000,29046,29046,29046,79.685,58.683
2,ani_lig_R00050.dcm,0.000,12065,12065,12065,79.893,58.075
3,ani_lig_R00050.dcm,0.000,8934,8934,8934,80.005,57.292
4,ani_lig_R00050.dcm,0.000,5062,5062,5062,80.100,56.221
5,ani_lig_R00050.dcm,0.000,16015,16015,16015,80.100,55.230
6,ani_lig_R00050.dcm,0.000,18785,18785,18785,79.925,53.888
7,ani_lig_R00050.dcm,0.000,13372,13372,13372,79.765,52.641
8,ani_lig_R00050.dcm,0.000,10738,10738,10738,79.573,51.314
9,ani_lig_R00050.dcm,0.000,10612,10612,10612,79.269,49.972
10,ani_lig_R00050.dcm,0.000,8875,8875,8875,78.870,48.597
11,ani_lig_R00050.dcm,0.000,15664,15664,15664,78.406,47.351
12,ani_lig_R00050.dcm,0.000,16874,16874,16874,77.767,45.928
13,ani_lig_R00050.dcm,0.000,24267,24267,24267,77.096,44.633
14,ani_lig_R00050.dcm,0.000,14113,14113,14113,76.392,43.275
15,ani_lig_R00050.dcm,0.000,4447,4447,4447,75.737,41.756
16,ani_lig_R00050.dcm,0.000,11948,11948,11948,75.066,40.446
17,ani_lig_R00050.dcm,0.000,13830,13830,13830,74.155,39.135
18,ani_lig_R00050.dcm,0.000,5237,5237,5237,73.164,37.793
19,ani_lig_R00050.dcm,0.000,10826,10826,10826,72.109,36.610
20,ani_lig_R00050.dcm,0.000,13947,13947,13947,71.006,35.411
21,ani_lig_R00050.dcm,0.000,5452,5452,5452,69.871,34.116
22,ani_lig_R00050.dcm,0.000,7276,7276,7276,68.656,32.902
23,ani_lig_R00050.dcm,0.000,604,604,604,67.330,31.799
24,ani_lig_R00050.dcm,0.000,0,0,0,65.971,30.808
25,ani_lig_R00050.dcm,0.000,1297,1297,1297,64.501,29.849
26,ani_lig_R00050.dcm,0.000,1619,1619,1619,63.014,29.034
27,ani_lig_R00050.dcm,0.000,2223,2223,2223,61.304,28.203
28,ani_lig_R00050.dcm,0.000,1989,1989,1989,59.626,27.627
29,ani_lig_R00050.dcm,0.000,10358,10358,10358,57.916,27.100
30,ani_lig_R00050.dcm,0.000,5813,5813,5813,56.014,26.748
31,ani_lig_R00050.dcm,0.000,4194,4194,4194,54.239,26.396
32,ani_lig_R00050.dcm,0.000,7354,7354,7354,52.449,26.173
33,ani_lig_R00050.dcm,0.000,16396,16396,16396,50.803,25.901
34,ani_lig_R00050.dcm,0.000,16942,16942,16942,48.901,25.885
35,ani_lig_R00050.dcm,0.000,16142,16142,16142,46.967,26.077
36,ani_lig_R00050.dcm,0.000,12543,12543,12543,45.161,26.125
37,ani_lig_R00050.dcm,0.000,11060,11060,11060,43.307,26.157
38,ani_lig_R00050.dcm,0.000,11275,11275,11275,41.453,26.364
39,ani_lig_R00050.dcm,0.000,3121,3121,3121,39.519,26.732
40,ani_lig_R00050.dcm,0.000,1599,1599,1599,37.665,27.212
41,ani_lig_R00050.dcm,0.000,9431,9431,9431,35.891,27.979
42,ani_lig_R00050.dcm,0.000,10982,10982,10982,34.164,28.794
43,ani_lig_R00050.dcm,0.000,13577,13577,13577,32.550,29.993
44,ani_lig_R00050.dcm,0.000,15342,15342,15342,31.064,31.271
45,ani_lig_R00050.dcm,0.000,7812,7812,7812,29.721,32.678
46,ani_lig_R00050.dcm,0.000,10007,10007,10007,28.298,34.068
47,ani_lig_R00050.dcm,0.000,12953,12953,12953,26.796,35.603
48,ani_lig_R00050.dcm,0.000,10114,10114,10114,25.629,37.057
49,ani_lig_R00050.dcm,0.000,10787,10787,10787,24.526,38.784
50,ani_lig_R00050.dcm,0.000,18376,18376,18376,23.503,40.494
51,ani_lig_R00050.dcm,0.000,15411,15411,15411,22.672,42.316
52,ani_lig_R00050.dcm,0.000,13372,13372,13372,21.921,44.218
53,ani_lig_R00050.dcm,0.000,16562,16562,16562,21.458,46.248
54,ani_lig_R00050.dcm,0.000,9266,9266,9266,20.834,48.182
55,ani_lig_R00050.dcm,0.000,8885,8885,8885,20.179,50.148
56,ani_lig_R00050.dcm,0.000,8495,8495,8495,19.636,52.082
57,ani_lig_R00050.dcm,0.000,11850,11850,11850,19.156,54.191
58,ani_lig_R00050.dcm,0.000,17400,17400,17400,18.900,56.205
59,ani_lig_R00050.dcm,0.000,11870,11870,11870,18.501,58.107
60,ani_lig_R00050.dcm,0.000,19673,19673,19673,18.373,59.370
61,ani_lig_R00050.dcm,0.000,13626,13626,13626,19.939,61.528
62,ani_lig_R00050.dcm,0.000,25057,25057,25057,20.115,63.206
63,ani_lig_R00050.dcm,0.000,22336,22336,22336,20.706,65.380
64,ani_lig_R00050.dcm,0.000,24394,24394,24394,21.601,67.154
65,ani_lig_R00050.dcm,0.000,26910,26910,26910,22.640,68.976
66,ani_lig_R00050.dcm,0.000,26237,26237,26237,23.711,70.862
67,ani_lig_R00050.dcm,0.000,20424,20424,20424,24.798,72.492
68,ani_lig_R00050.dcm,0.000,26208,26208,26208,26.125,74.251
69,ani_lig_R00050.dcm,0.000,26959,26959,26959,27.547,75.689
70,ani_lig_R00050.dcm,0.000,22628,22628,22628,29.082,76.952
71,ani_lig_R00050.dcm,0.000,21643,21643,21643,30.728,78.055
72,ani_lig_R00050.dcm,0.000,38732,38732,38732,32.246,78.918
73,ani_lig_R00050.dcm,0.000,36664,36664,36664,34.260,79.957
74,ani_lig_R00050.dcm,0.000,32704,32704,32704,36.130,80.564
75,ani_lig_R00050.dcm,0.000,28607,28607,28607,38.304,81.283
76,ani_lig_R00050.dcm,0.000,31660,31660,31660,40.414,81.763
77,ani_lig_R00050.dcm,0.000,26969,26969,26969,43.019,81.907
78,ani_lig_R00050.dcm,0.000,21029,21029,21029,45.241,81.970
79,ani_lig_R00050.dcm,0.000,21682,21682,21682,47.255,81.970
80,ani_lig_R00050.dcm,0.000,23555,23555,23555,49.412,81.986
81,ani_lig_R00050.dcm,0.000,19556,19556,19556,51.410,82.066
82,ani_lig_R00050.dcm,0.000,25662,25662,25662,53.648,82.018
83,ani_lig_R00050.dcm,0.000,26071,26071,26071,55.726,81.843
84,ani_lig_R00050.dcm,0.000,33172,33172,33172,57.836,81.379
85,ani_lig_R00050.dcm,0.000,26169,26169,26169,59.818,80.500
86,ani_lig_R00050.dcm,0.000,29544,29544,29544,61.720,79.429
87,ani_lig_R00050.dcm,0.000,25789,25789,25789,63.286,78.310
88,ani_lig_R00050.dcm,0.000,26198,26198,26198,64.868,76.936
89,ani_lig_R00050.dcm,0.000,26705,26705,26705,66.419,75.385
90,ani_lig_R00050.dcm,0.000,21829,21829,21829,67.761,73.883
91,ani_lig_R00050.dcm,0.000,25935,25935,25935,69.232,72.141
92,ani_lig_R00050.dcm,0.000,17469,17469,17469,70.159,70.590
93,ani_lig_R00050.dcm,0.000,15469,15469,15469,71.022,68.321
94,ani_lig_R00050.dcm,0.000,28900,28900,28900,71.581,66.419
95,ani_lig_R00050.dcm,0.000,30139,30139,30139,72.029,64.389
96,ani_lig_R00050.dcm,0.000,26901,26901,26901,72.157,62.279
97,ani_lig_R00050.dcm,0.000,26774,26774,26774,72.205,60.105
98,ani_lig_R00050.dcm,0.000,21009,21009,21009,71.965,58.091
99,ani_lig_R00050.dcm,0.000,20034,20034,20034,71.421,56.046
100,ani_lig_R00050.dcm,0.000,20765,20765,20765,70.686,54.128
101,ani_lig_R00050.dcm,0.000,23750,23750,23750,69.743,52.226
102,ani_lig_R00050.dcm,0.000,28910,28910,28910,68.688,50.260
103,ani_lig_R00050.dcm,0.000,19800,19800,19800,67.857,48.278
104,ani_lig_R00050.dcm,0.000,16386,16386,16386,66.802,46.791
105,ani_lig_R00050.dcm,0.000,41512,41512,41512,65.540,44.889
106,ani_lig_R00050.dcm,0.000,36381,36381,36381,64.277,43.147
107,ani_lig_R00050.dcm,0.000,30539,30539,30539,62.998,41.549
108,ani_lig_R00050.dcm,0.000,13938,13938,13938,61.480,40.142
109,ani_lig_R00050.dcm,0.000,18132,18132,18132,59.866,38.879
110,ani_lig_R00050.dcm,0.000,12241,12241,12241,58.107,37.761
111,ani_lig_R00050.dcm,0.000,14913,14913,14913,56.221,36.897
112,ani_lig_R00050.dcm,0.000,22941,22941,22941,53.936,36.402
113,ani_lig_R00050.dcm,0.000,27447,27447,27447,51.906,35.891
114,ani_lig_R00050.dcm,0.000,30588,30588,30588,49.748,35.635
115,ani_lig_R00050.dcm,0.000,29310,29310,29310,47.766,35.315
116,ani_lig_R00050.dcm,0.000,31563,31563,31563,45.624,35.475
117,ani_lig_R00050.dcm,0.000,24843,24843,24843,43.531,36.050
118,ani_lig_R00050.dcm,0.000,26023,26023,26023,41.229,36.802
119,ani_lig_R00050.dcm,0.000,22043,22043,22043,39.790,37.681
120,ani_lig_R00050.dcm,0.000,16415,16415,16415,38.048,39.215
121,ani_lig_R00050.dcm,0.000,16347,16347,16347,36.866,40.238
122,ani_lig_R00050.dcm,0.000,28676,28676,28676,35.411,41.804
123,ani_lig_R00050.dcm,0.000,34674,34674,34674,34.116,43.307
124,ani_lig_R00050.dcm,0.000,41131,41131,41131,32.870,44.953
125,ani_lig_R00050.dcm,0.000,25038,25038,25038,31.863,46.951
126,ani_lig_R00050.dcm,0.000,21438,21438,21438,31.207,48.901
127,ani_lig_R00050.dcm,0.000,17088,17088,17088,31.112,50.739
128,ani_lig_R00050.dcm,0.000,20336,20336,20336,30.696,52.673
129,ani_lig_R00050.dcm,0.000,28734,28734,28734,30.392,54.783
130,ani_lig_R00050.dcm,0.000,37805,37805,37805,30.520,56.765
131,ani_lig_R00050.dcm,0.000,17098,17098,17098,30.824,58.795
132,ani_lig_R00050.dcm,0.000,30441,30441,30441,31.303,60.713
133,ani_lig_R00050.dcm,0.000,16503,16503,16503,32.039,62.599
134,ani_lig_R00050.dcm,0.000,17859,17859,17859,32.710,64.197
