 ,Label,Area,Mean,Min,Max,Angle,Length
64,ani_lig_R00050.dcm,0.097,4100.047,3631.595,4610.799,117.192,1.967
65,ani_lig_R00050.dcm,0.093,4355.949,3352.771,5089.938,123.003,1.856
66,ani_lig_R00050.dcm,0.095,4067.367,3582.440,4551.376,124.089,1.919
67,ani_lig_R00050.dcm,0.102,4025.692,3139.024,4797.559,128.382,2.068
68,ani_lig_R00050.dcm,0.093,3995.063,3376.657,4612.333,138.447,1.887
69,ani_lig_R00050.dcm,0.104,4092.794,3367.295,4762.583,144.005,2.103
70,ani_lig_R00050.dcm,0.093,4007.290,3152.167,4658.903,147.943,1.875
71,ani_lig_R00050.dcm,0.093,4747.533,3813.333,5484.701,154.983,1.860
72,ani_lig_R00050.dcm,0.102,3975.783,3389.224,4625.973,156.626,2.063
73,ani_lig_R00050.dcm,0.107,4224.561,3220.694,5057.063,161.701,2.147
74,ani_lig_R00050.dcm,0.104,4590.383,3247.996,6280.676,161.157,2.137
75,ani_lig_R00050.dcm,0.097,4245.000,3356.303,4924.716,169.611,1.958
76,ani_lig_R00050.dcm,0.107,4355.144,3179.268,5152.454,176.583,2.154
77,ani_lig_R00050.dcm,0.100,4643.990,3349.222,6178.109,175.882,2.011
78,ani_lig_R00050.dcm,0.086,4963.882,3398.521,7001.054,178.949,1.750
79,ani_lig_R00050.dcm,0.090,4267.181,3784.094,4758.393,179.497,1.830
80,ani_lig_R00050.dcm,0.097,4124.828,3609.516,4753.089,179.534,1.974
81,ani_lig_R00050.dcm,0.102,4646.819,3720.233,5647.678,179.105,2.055
82,ani_lig_R00050.dcm,0.095,4126.525,3624.584,4655.361,-173.234,1.907
83,ani_lig_R00050.dcm,0.100,4606.625,3939.176,5207.000,-169.408,2.008
84,ani_lig_R00050.dcm,0.095,4276.143,3262.293,4938.583,-159.775,1.950
85,ani_lig_R00050.dcm,0.095,4218.787,3638.375,4784.133,-153.012,1.945
86,ani_lig_R00050.dcm,0.104,4125.494,3319.021,4798.529,-149.335,2.108
87,ani_lig_R00050.dcm,0.097,4678.563,3889.091,5438.817,-141.921,1.978
88,ani_lig_R00050.dcm,0.097,4619.784,3757.033,5356.184,-139.248,1.992
89,ani_lig_R00050.dcm,0.107,4556.578,3701.605,5228.481,-135.297,2.190
90,ani_lig_R00050.dcm,0.097,4733.085,3807.111,5510.063,-136.317,1.975
91,ani_lig_R00050.dcm,0.093,4233.027,3606.710,4582.939,-121.799,1.888
92,ani_lig_R00050.dcm,0.102,4298.644,3428.690,4875.634,-108.435,2.081
93,ani_lig_R00050.dcm,0.102,4428.205,3689.085,5399.071,-105.216,2.079
94,ani_lig_R00050.dcm,0.109,4881.068,4386.227,5453.028,-100.416,2.219
95,ani_lig_R00050.dcm,0.097,4633.255,3804.997,5130.638,-96.546,1.971
96,ani_lig_R00050.dcm,0.104,4505.475,3891.645,5205.333,-94.300,2.141
97,ani_lig_R00050.dcm,0.095,4831.552,4001.062,5575.394,-83.766,1.921
98,ani_lig_R00050.dcm,0.107,5031.413,3999.593,5776.102,-74.521,2.165
99,ani_lig_R00050.dcm,0.102,4101.829,3124.663,4658.361,-63.635,2.060
100,ani_lig_R00050.dcm,0.102,4425.213,3310.079,5313.238,-65.410,2.083
101,ani_lig_R00050.dcm,0.107,5026.510,4042.034,5752.633,-61.928,2.183
102,ani_lig_R00050.dcm,0.100,4283.426,3092.986,4803.472,-57.184,2.043
103,ani_lig_R00050.dcm,0.090,4442.360,3483.281,5547.403,-55.337,1.834
104,ani_lig_R00050.dcm,0.109,4940.966,3788.286,5443.901,-52.381,2.209
105,ani_lig_R00050.dcm,0.097,6861.966,4229.516,9340.158,-51.196,1.998
106,ani_lig_R00050.dcm,0.100,5718.354,3628.802,7442.669,-43.727,2.043
107,ani_lig_R00050.dcm,0.100,4334.882,3148.250,5176.791,-43.069,2.021
108,ani_lig_R00050.dcm,0.104,4742.348,3125.438,6929.008,-32.237,2.106
109,ani_lig_R00050.dcm,0.104,4705.440,3002.921,6687.283,-26.757,2.139
