 ,Label,Area,Mean,Min,Max,X,Y
1,R146673-(0001)-.dcm,0.000,2638,2638,2638,237.617,342.434
2,R146673-(0001)-.dcm,0.000,3085,3085,3085,238.379,343.831
3,R146673-(0001)-.dcm,0.000,3221,3221,3221,239.056,345.355
4,R146673-(0001)-.dcm,0.000,3257,3257,3257,240.051,346.985
5,R146673-(0001)-.dcm,0.000,3234,3234,3234,241.258,348.467
6,R146673-(0001)-.dcm,0.000,2982,2982,2982,242.718,350.224
7,R146673-(0001)-.dcm,0.000,2987,2987,2987,244.814,352.108
8,R146673-(0001)-.dcm,0.000,3063,3063,3063,247.184,353.208
9,R146673-(0001)-.dcm,0.000,3435,3435,3435,249.640,354.182
10,R146673-(0001)-.dcm,0.000,2745,2745,2745,251.756,355.134
11,R146673-(0001)-.dcm,0.000,2892,2892,2892,254.317,355.791
12,R146673-(0001)-.dcm,0.000,2856,2856,2856,257.217,356.193
13,R146673-(0001)-.dcm,0.000,2865,2865,2865,259.673,356.637
14,R146673-(0001)-.dcm,0.000,2921,2921,2921,262.636,356.701
15,R146673-(0001)-.dcm,0.000,2836,2836,2836,265.451,356.531
16,R146673-(0001)-.dcm,0.000,2927,2927,2927,268.097,356.171
17,R146673-(0001)-.dcm,0.000,2993,2993,2993,271.145,355.515
18,R146673-(0001)-.dcm,0.000,3160,3160,3160,273.897,355.092
19,R146673-(0001)-.dcm,0.000,3142,3142,3142,276.585,354.563
20,R146673-(0001)-.dcm,0.000,3340,3340,3340,279.950,353.907
21,R146673-(0001)-.dcm,0.000,3383,3383,3383,282.850,353.187
22,R146673-(0001)-.dcm,0.000,3154,3154,3154,285.433,352.510
23,R146673-(0001)-.dcm,0.000,3071,3071,3071,288.269,351.451
24,R146673-(0001)-.dcm,0.000,3281,3281,3281,291.296,350.605
25,R146673-(0001)-.dcm,0.000,3227,3227,3227,294.195,350.329
26,R146673-(0001)-.dcm,0.000,3232,3232,3232,296.926,349.546
27,R146673-(0001)-.dcm,0.000,3164,3164,3164,299.593,349.250
28,R146673-(0001)-.dcm,0.000,3216,3216,3216,302.673,348.774
29,R146673-(0001)-.dcm,0.000,3218,3218,3218,305.848,347.853
30,R146673-(0001)-.dcm,0.000,3018,3018,3018,308.991,347.218
31,R146673-(0001)-.dcm,0.000,3079,3079,3079,312.071,346.329
32,R146673-(0001)-.dcm,0.000,3003,3003,3003,314.674,345.123
33,R146673-(0001)-.dcm,0.000,3304,3304,3304,318.167,343.821
34,R146673-(0001)-.dcm,0.000,3115,3115,3115,321.405,342.646
35,R146673-(0001)-.dcm,0.000,3198,3198,3198,324.453,341.312
36,R146673-(0001)-.dcm,0.000,3163,3163,3163,327.501,339.757
37,R146673-(0001)-.dcm,0.000,3285,3285,3285,330.041,338.201
38,R146673-(0001)-.dcm,0.000,3067,3067,3067,332.930,336.772
39,R146673-(0001)-.dcm,0.000,3408,3408,3408,336.137,335.153
40,R146673-(0001)-.dcm,0.000,3384,3384,3384,338.995,333.820
41,R146673-(0001)-.dcm,0.000,3331,3331,3331,342.329,332.105
42,R146673-(0001)-.dcm,0.000,3207,3207,3207,345.059,330.422
43,R146673-(0001)-.dcm,0.000,3027,3027,3027,348.266,328.105
44,R146673-(0001)-.dcm,0.000,2967,2967,2967,351.123,325.374
45,R146673-(0001)-.dcm,0.000,2828,2828,2828,352.965,322.771
46,R146673-(0001)-.dcm,0.000,2923,2923,2923,354.521,319.723
47,R146673-(0001)-.dcm,0.000,3125,3125,3125,356.013,316.992
48,R146673-(0001)-.dcm,0.000,3055,3055,3055,357.632,314.198
49,R146673-(0001)-.dcm,0.000,3454,3454,3454,359.823,311.023
50,R146673-(0001)-.dcm,0.000,2625,2625,2625,361.664,308.578
51,R146673-(0001)-.dcm,0.000,3475,3475,3475,363.506,304.927
52,R146673-(0001)-.dcm,0.000,3364,3364,3364,364.680,301.498
53,R146673-(0001)-.dcm,0.000,2755,2755,2755,365.347,298.101
54,R146673-(0001)-.dcm,0.000,2997,2997,2997,365.760,293.180
55,R146673-(0001)-.dcm,0.000,3196,3196,3196,365.760,289.497
56,R146673-(0001)-.dcm,0.000,3270,3270,3270,365.824,285.782
57,R146673-(0001)-.dcm,0.000,2941,2941,2941,365.379,282.702
58,R146673-(0001)-.dcm,0.000,3067,3067,3067,364.680,278.829
59,R146673-(0001)-.dcm,0.000,2718,2718,2718,363.347,275.685
60,R146673-(0001)-.dcm,0.000,3183,3183,3183,361.315,272.066
61,R146673-(0001)-.dcm,0.000,2924,2924,2924,358.902,268.764
