"","species","mean_PC1","mean_PC2","c_size","svl","sh_mbd","sh_mtw","sh_hwe","sh_hda","sh_hd","sh_tl","body_PC1","body_PC2","body_PC3","log_svl","log_tl","fil_PC1","fil_PC2","fil_PC3","mean_bulk","max_bulk","mean_sand_per","mean_silt_per","mean_clay_per","temp_mean","temp_max","BIO5","BIO6","BIO13","BIO14","ARID","sum","mean_svl","mean_width","max_svl","max_width","mean_bulk_cat","arid_category","biome_binary","biome","arid_cat"
"Anilios_bituberculatus","Anilios_bituberculatus",0.0677834469331078,-0.00812414640991493,0.833328160435833,284.466666666667,-4.14808510149835,-4.53691076890175,-4.44025783466711,-5.1356401833955,-4.77616672865329,-4.05710978093485,-1.24075377598884,0.414296083065748,-0.111937098405026,5.63271105665415,1.6915028826133,0.867028502090482,-0.493857075560539,-0.0731223780223315,1.41200315627185,1.55286884307861,68.9227523704628,7.89685962881361,19.5574622841624,17.9338636472628,23.3583335876465,32.85506491723,4.66337662254061,44.0779220779221,17.6493506493506,0.16889012987013,96.3770742834388,284.466666666667,4.61333333333333,376,8.66,"Hard","Arid","arid","arid","Arid"
"Anilios_wiedii","Anilios_wiedii",-0.0645709922324381,-0.00616399189771,0.815996316389381,229.032608695652,-4.05824664688126,-4.3260072429959,-4.42515435040491,-5.00034103957904,-4.73923496757724,-3.99228997918557,-0.413799913276919,-0.134199923515192,0.0032388828117396,5.4204089085156,1.50115357992526,0.15459560021335,-0.534965224572767,-0.218085268480033,1.30165966278628,1.47125208377838,51.2446469457526,15.8736935213992,27.0867548591212,19.2418218318452,23.2999992370605,31.1202127375501,5.82234043199965,124.38829787234,30.6117021276596,0.438015263157895,94.2050953262731,229.032608695652,3.93760869565217,287,5.015,"Medium","Semi-Arid","nonarid","nonarid","Semi-Arid"
"Anilios_ganei","Anilios_ganei",-0.147424613765218,-0.00740454852510208,0.838696254568879,301.2,-3.75636993978749,-4.32049962033167,-4.19873026142031,-4.97748821365108,-4.54115129126485,-3.86391271867925,0.792368202340652,0.455353595943247,-0.0266889708182823,5.67523397308608,1.82204314350112,-0.952845311212393,-0.420905422223704,-0.312348293101324,1.51335953530811,1.59927105903625,80.0597570510138,4.14715140206473,14.2702163060506,24.8180556524368,26.970832824707,39.4190475827172,9.19047609965006,84.8571428571429,2.38095238095238,0.112104761904762,98.4771247591291,260.692307692308,6.08153846153846,450,9.45,"Hard","Arid","arid","arid","Arid"
"Anilios_ligatus","Anilios_ligatus",-0.128731814150982,0.0139313507897257,0.830325287316051,221.166666666667,-3.45720819704717,-3.88065292589229,-3.88643401545958,-4.6216973684288,-4.29419311993339,-3.54211637721292,2.92849061686181,0.103269873882641,0.235715704252047,5.36720043825567,1.99116300498838,-3.4715540418021,-0.202754925060912,-0.318930058119232,1.42080151650213,1.51128697395325,66.2177267997496,9.92261593380282,22.0878179688608,27.3536290199526,28.3250007629395,37.3403226175616,14.4629031919664,257.451612903226,0.870967741935484,0.436238709677419,98.2281607024131,221.166666666667,7.10833333333333,277,10.64,"Hard","Semi-Arid","nonarid","nonarid","Semi-Arid"
"Anilios_ligatusE","Anilios_ligatusE",-0.123296495070817,-0.0240919107974786,0.832022183145888,320.541666666667,-3.32327973327792,-3.75744744756454,-3.77424215162423,-4.54683347551141,-4.113952628011,-3.48746848395678,3.80616644006681,0.112864633027869,0.249039384118598,5.75823384294758,2.3076513286627,-4.35579914245421,-0.282944074864815,-0.353728136740512,1.35232596482549,1.49574518203735,56.5847819192069,13.7411257880075,26.4710710866111,20.8542865506179,27.1333332061768,32.656834595495,7.01798563209369,131.848920863309,22.0719424460432,0.372462857142857,96.7969787938254,273.519230769231,10.0511538461538,386,16.32,"Medium","Semi-Arid","nonarid","nonarid","Semi-Arid"
"Anilios_troglodytes","Anilios_troglodytes",-0.0175779716034052,0.0139196993883378,0.825739482800217,250.75,-4.07890246096307,-4.52821678137761,-4.45075975438812,-5.19493112452006,-4.87538231864733,-3.95400634556068,-1.38777224782389,0.387444209028272,0.23254151354704,5.4938572441164,1.53985089855572,0.909157818157139,-0.117835804473479,-0.344094854381456,1.45122511386871,1.47669565677643,82.0198303222656,3.18782260417938,12.5355492591858,27.4266666412354,28.2458324432373,37.2200004577637,14.4800001144409,256,0.8,0.3416,97.7432021856308,250.75,4.18142857142857,387,5.69,"Hard","Semi-Arid","nonarid","nonarid","Semi-Arid"
"Anilios_kimberleyensis","Anilios_kimberleyensis",-0.0548809331747559,0.0271616729837488,0.827844415143524,244.583333333333,-3.8934053995369,-4.50972070053349,-4.2533991418133,-5.00568068077591,-4.77484747174586,-3.93614268123512,-0.365269823943857,0.388966289154121,0.0261760331408566,5.47568276992656,1.67050458297373,-0.0312273400296561,-0.422098763844029,-0.10955944653493,1.39034292953355,1.46745574474335,79.9807570321219,5.65191891363689,13.5162914480482,27.3351447063944,28.595832824707,35.1043477265731,17.0695651510487,282.869565217391,1.30434782608696,0.343285714285714,99.148967393807,244.583333333333,4.9175,408,6.85,"Medium","Semi-Arid","nonarid","nonarid","Semi-Arid"
"Anilios_torresianus","Anilios_torresianus",-0.0868419746277019,-0.0217283965984094,0.815824684367498,388.958333333333,-3.70517302408668,-4.04727686901473,-4.07457966571081,-4.80935266282602,-4.47890383333266,-3.43035834486046,1.73831205723728,-0.596126314606843,0.130652134815122,5.82091573071645,2.47060706369306,-2.28035298716582,0.544023772862064,-0.217373435065975,1.2012557405414,1.43586242198944,49.791420098507,17.2186520701707,30.2359461639867,22.1481291323292,26.3708343505859,29.6908163343157,13.5602040582774,449.469387755102,27.6428571428571,1.14737272727273,97.2460183326644,355.642857142857,8.73261904761905,640,15.41,"Soft","Humid","nonarid","nonarid","Humid"
"Anilios_nigrescens","Anilios_nigrescens",-0.0442994761079418,-0.0190942651032548,0.818483067452908,393,-3.94722834453605,-4.22047073362861,-4.23961873204051,-4.9254305157049,-4.57184087408403,-3.79170199293233,0.667028457331843,-0.26608842624004,0.0561662739149195,5.82708300506107,2.1425632974771,-0.89907652602454,-0.189654869780327,-0.115110254393071,1.17246128724949,1.4699786901474,55.1491862060018,17.036527148561,18.6977081409079,16.4027966580966,22.1708335876465,27.13287938708,5.13579766017454,145.048638132296,46.9902723735409,0.695964547206166,90.8834214954707,349.090909090909,6.70454545454545,502,10.03,"Soft","Humid","nonarid","nonarid","Humid"
"Anilios_unguirostris","Anilios_unguirostris",0.036840088200961,0.0798985615753895,0.828776290752528,346.909090909091,-4.04429379192286,-4.51153479068641,-4.50982755125548,-5.14538462491128,-4.84768193360653,-4.28904397075114,-1.19342564041076,0.756047590870482,0.322978792484835,5.81475700320537,1.52571303245423,1.13469923151716,-1.15462811980036,-0.473204978781396,1.40911203861237,1.5154846906662,69.8616370010376,10.5690551805496,18.8704584789276,25.5234007209238,28.3083343505859,34.978787663007,13.5848484761787,256.30303030303,5.07070707070707,0.471524,99.3011506605148,323.911764705882,5.70617647058824,445,8.43,"Medium","Semi-Arid","nonarid","nonarid","Semi-Arid"
