"reg_no","genus","species","latitude","longitude","tail_shape","sex","institution","plain_number","id","ratio","svl","tail_length","sh_mbd","sh_mtw","sh_hwe","sh_hda","sh_hd","sh_tl"
"R99771","Anilios","unguirostris",-17.29,125.37,"point","f","WAM","99771","WAM_R99771",0.01,311,3,-4.05524752725833,-4.80762883114879,-4.65798774182751,-5.30153798124808,-5.02195311902892,-4.64118062351112
"R131661","Anilios","unguirostris",-14.221,126.632,"point","m","WAM","131661","WAM_R131661",0.026,267,7,-4.01655157428258,-4.12863363570073,-4.34021636461387,-5.10482250915596,-4.73709772903064,-3.64133850934494
"R161318","Anilios","grypusW",-21.41,120.07,"point","f","WAM","161318","WAM_R161318",0.01,328,4,-4.56923817676203,-4.92591312070076,-4.85692024921381,-5.38090395755731,-5.21640024408015,-4.40671924726425
"R168870","Anilios","ligatus",-15.669,128.691,"point","m","WAM","168870","WAM_R168870",0.046,219,10,-3.40119738166216,-3.69897591436495,-3.91659967245556,-4.74721784364411,-4.32436099282407,-3.08648663682246
"R141065","Anilios","ligatus",-15.77,128.73,"point","f","WAM","141065","WAM_R141065",0.03,277,7,-3.42235833178325,-3.92656871643052,-3.92291240522741,-4.73201946688223,-4.4484441763831,-3.67810735713203
"R75510","Anilios","ligatus",-16.583,128.8,"point","f","WAM","75510","WAM_R75510",0.029,241,7,-3.64902057884583,-4.16838869983493,-4.0009222440319,-4.71468871179458,-4.35339482199955,-3.53888678443534
"R22357","Anilios","ligatus",-15.65,128.7,"point","","WAM","22357","WAM_R22357",0.04,132,5,-3.50655789731998,-3.84606503763635,-3.73222989498755,-4.5321450509732,-4.12667994286504,-3.27336401015227
"R99775","Anilios","ligatus",-17.115,125.175,"point","m","WAM","99775","WAM_R99775",0.05,181,9,-3.50471797039797,-3.89016421161565,-3.77058099545512,-4.53066765869017,-4.21268023674306,-3.00127245392961
"R55038","Anilios","leptosoma",-25.733,114.283,"point","m","WAM","55038","WAM_R55038",0.035,143,5,-4.58440819453966,-4.73173290929652,-4.79733019178233,-5.22420939439431,-5.12536355975768,-3.35340671782581
"R13462","Anilios","systenos",-28.4,114.58,"point","m","WAM","13462","WAM_R13462",0.04,127,5,-4.47262353002611,-4.57415994924553,-4.57415994924553,-5.09264844575709,-4.9834491537921,-3.23474917402449
"R125963","Anilios","leptosoma",-27.7,114.2,"point","m","WAM","125963","WAM_R125963",0.041,222,9,-4.42435125907867,-4.49039467139566,-4.88388358845711,-5.32571634073615,-5.13265024465922,-3.20545280453606
"R125964","Anilios","leptosoma",-27.7,114.2,"point","m","WAM","125964","WAM_R125964",0.04,178,7,-4.36641873700789,-4.55051177345023,-4.82410910602027,-5.26516515923114,-5.06845486498508,-3.23587340123677
"R55039","Anilios","leptosoma",-25.733,114.283,"point","m","WAM","55039","WAM_R55039",0.045,134,6,-4.36134642943634,-4.64319758157733,-4.56853605280831,-5.17227664565267,-5.0841693781424,-3.10608033072286
"R119241","Anilios","leptosoma",-27.7,114.167,"point","f","WAM","119241","WAM_R119241",0.017,296,5,-4.51170445798241,-4.76214015158463,-5.04325621226552,-5.4051805120904,-5.27824980349723,-4.08092154188996
"R51097","Anilios","leptosoma",-26.97,115.97,"point","f","WAM","51097","WAM_R51097",0.02,256,4,-4.60517018598809,-4.82247146167807,-4.9629618246269,-5.29053522610598,-5.16674100875932,-4.15888308335967
"R135647","Anilios","leptosoma",-27.39,114.753,"point","f","WAM","135647","WAM_R135647",0.021,286,6,-4.53106221383437,-4.78469844487643,-4.88588358912378,-5.31951957419864,-5.16129556898375,-3.8642323415918
"R57545","Anilios","leptosoma",-28.08,115.3,"point","f","WAM","57545","WAM_R57545",0.02,268,5,-4.69898894120575,-4.93346697759406,-4.89783979995091,-5.40036662090221,-5.22634386692295,-3.98154906807676
"R146456","Anilios","leptosoma",-28.033,114.667,"point","f","WAM","146456","WAM_R146456",0.025,239,6,-4.49438507951935,-4.71099570979194,-4.87214758507818,-5.30251024480807,-5.12580668031834,-3.68470408270346
"R146454","Anilios","leptosoma",-28.03,114.67,"point","f","WAM","146454","WAM_R146454",0.02,261,6,-4.32904893593739,-4.61673100838917,-4.97119356204496,-5.39900596884512,-5.19987729373478,-3.77276093809464
"R163084","Anilios","grypusW",-23.054,119.177,"point","f","WAM","163084","WAM_R163084",0.025,236,6,-4.53561250228618,-4.89285225843987,-4.77068462446567,-5.48403451234313,-5.26498094628044,-3.67207233579756
"R163640","Anilios","grypusW",-22.22,117.52,"point","f","WAM","163640","WAM_R163640",0.02,210,4,-4.79322241749103,-4.91532511429193,-4.8342839042888,-5.40898293443556,-5.29831736654804,-3.96081316959758
"R151749","Anilios","ganei",-22.017,118.982,"point","m","WAM","151749","WAM_R151749",0.033,241,8,-3.76560815709744,-4.21503638862672,-4.02851020055073,-4.88048096663733,-4.59279889418554,-3.40535539181082
"R135625","Anilios","ganei",-23.07,118.93,"point","m","WAM","135625","WAM_R135625",0.03,267,8,-3.59118872565946,-4.08986024977477,-4.07873666455611,-4.84531131367087,-4.47539114298212,-3.50780711672041
