"reg_no","genus","species","latitude","longitude","tail_shape","sex","institution","plain_number","id","ratio","svl","tail_length","sh_mbd","sh_mtw","sh_hwe","sh_hda","sh_hd","sh_tl"
"R03301","Anilios","tovelli",-12.55,131.05,"pointy","f","MAGNT","3301","MAGNT_R03301",0.026,95,2.5,-3.52783529576727,-4.21028718721046,-3.85325769620189,-4.67604452557475,-4.37155533480659,-3.63758615972639
"R12044","Anilios","tovelli",-12.56,131.31,"pointy","m","MAGNT","12044","MAGNT_R12044",0.03,128.5,4,-3.59463103339007,-4.12116004908451,-3.84614782937378,-4.66944933739266,-4.3673488895166,-3.46963454321538
"R34084","Anilios","endoterus",-25.35,131.033,"pointy","m","MAGNT","34084","MAGNT_R34084",0.04,198.5,8,-3.93366611630763,-4.19718935328268,-4.22435570982337,-4.91578319950379,-4.50688755629884,-3.21134755844741
"R34092","Anilios","endoterus",-23.95,133.93,"pointy","f","MAGNT","34092","MAGNT_R34092",0.02,284,7,-4.00031561257382,-4.35699055651256,-4.2210582023505,-4.86735840961365,-4.5272966765621,-3.70306408910589
"R34091","Anilios","endoterus",-24.75,136,"pointy","m","MAGNT","34091","MAGNT_R34091",0.033,276,9,-3.90660293795881,-4.28803484662282,-4.3662103452306,-5.02156436462845,-4.57308187143659,-3.42317628838093
"R34040","Anilios","endoterus",-25.3,130.72,"pointy","f","MAGNT","34040","MAGNT_R34040",0.03,277,7,-3.92565338455884,-4.17006449659363,-4.21792051777127,-4.88208016145796,-4.4484441763831,-3.67810735713203
"R34085","Anilios","endoterus",-25.35,131.033,"pointy","m","MAGNT","34085","MAGNT_R34085",0.035,185.75,6.5,-4.14769423031781,-4.34063414342927,-4.24984204359974,-5.05465890901077,-4.77651585960575,-3.35259950669628
"R34083","Anilios","endoterus",-24.88,134.25,"pointy","f","MAGNT","34083","MAGNT_R34083",0.02,352.5,7.5,-3.85014760171006,-4.1584859990875,-4.38686099642818,-5.05190064929768,-4.73042789606118,-3.85014760171006
"R34088","Anilios","endoterus",-21.006,130.083,"pointy","m","MAGNT","34088","MAGNT_R34088",0.038,158,6,-3.80271459676273,-4.11093715731552,-3.977405764691,-4.5863608540306,-4.29945548064699,-3.27083556379891
"R17582","Anilios","endoterus",-24,133.9,"pointy","f","MAGNT","17582","MAGNT_R17582",0.02,328,5.5,-3.81063377954744,-4.33323647050445,-4.29562519975867,-4.9865377425172,-4.62363224882783,-4.08826551614572
"R17586","Anilios","endoterus",-24,133.9,"pointy","f","MAGNT","17586","MAGNT_R17586",0.021,257.5,5.5,-3.96280544412132,-4.17857076580595,-4.21997383321438,-4.95218321901509,-4.63873700962717,-3.84627162786537
"R17589","Anilios","endoterus",-24,133.9,"pointy","m","MAGNT","17589","MAGNT_R17589",0.03,168,5.75,-3.86408354313903,-4.0661736852554,-4.13814718488049,-4.91289300932332,-4.48474514086887,-3.374764124594
"R14333","Anilios","centralis",-24,133.433,"pointy","m","MAGNT","14333","MAGNT_R14333",0.024,273.5,6.5,-4.14112577676144,-4.13997701155757,-4.35426209659941,-4.87174806848793,-4.68902881831033,-3.73949944496044
"R34053","Anilios","centralis",-23.7,133.85,"pointy","f","MAGNT","34053","MAGNT_R34053",0.02,249.5,4.5,-3.94254419446303,-4.25392075520748,-4.30306359086708,-4.88024007665718,-4.61321851917092,-4.0153815184153
"R18360","Anilios","centralis",-23.517,133.267,"pointy","f","MAGNT","18360","MAGNT_R18360",0.014,291,4,-3.87989851862438,-4.28827968795325,-4.44076300599364,-5.01321594068975,-4.88033075164183,-4.2870289060516
"R34104","Anilios","centralis",-23.77,133.88,"pointy","m","MAGNT","34104","MAGNT_R34104",0.04,249.5,9.5,-3.98366754292577,-4.08795221125014,-4.28835744347739,-4.82381485443304,-4.50241828021727,-3.26816711658508
"R05544","Anilios","centralis",-23.7,133.867,"pointy","f","MAGNT","5544","MAGNT_R05544",0.017,323,5.5,-4.07654722226273,-4.34853796491984,-4.4639286549376,-5.03333685608831,-4.81830210188805,-4.07290423098423
"R34042","Anilios","centralis",-23.7,133.88,"pointy","m","MAGNT","34042","MAGNT_R34042",0.03,313.5,10.5,-3.84420040908938,-4.14236946903641,-4.44488660789214,-5.02266913365998,-4.58464855026729,-3.3964241029095
"R34041","Anilios","centralis",-23.7,133.883,"pointy","m","MAGNT","34041","MAGNT_R34041",0.032,285.5,9,-3.87421781608643,-4.13254303096997,-4.34455877034801,-5.00191684305637,-4.59298552697172,-3.45701745175985
"R34043","Anilios","centralis",-23.7,133.88,"pointy","f","MAGNT","34043","MAGNT_R34043",0.02,292,5.75,-4.0280951766809,-4.33912461312967,-4.42399083377291,-4.98110974150975,-4.67062236639434,-3.92755394745902
"R34044","Anilios","centralis",-23.7,133.883,"pointy","f","MAGNT","34044","MAGNT_R34044",0.024,330.5,8,-3.88294902318831,-4.31559882523582,-4.57536171969027,-5.09998746389309,-4.81852818687958,-3.72116511761191
"R34038","Anilios","centralis",-23.62,136.88,"pointy","f","MAGNT","34038","MAGNT_R34038",0.02,287.5,6,-3.96744379936955,-4.46881669228293,-4.51065083263858,-5.11889856941204,-4.877321316409,-3.86946339100935
"R06741","Anilios","guentheri",-15.75,128.7,"pointy","f","MAGNT","6741","MAGNT_R06741",0.012,266,3.25,-4.37602961520151,-4.63377080082131,-4.65330267173855,-5.25060189350837,-5.02674175312731,-4.40484131244005
"R00915","Anilios","guentheri",-12.33,133.03,"pointy","m","MAGNT","915","MAGNT_R00915",0.02,259,5,-4.44661663718808,-4.64655540215095,-4.73265261873319,-5.27541560226135,-5.00007350604515,-3.94739014926544
"R24854","Anilios","sp",-15.376,130.106,"pointy","f","MAGNT","24854","MAGNT_R24854",0.018,248.5,4.5,-4.12665160421821,-4.37122004561652,-4.62139772260985,-5.13018044474604,-4.80004505604192,-4.01136544876041
"R02568","Anilios","guentheri",-13.82,131.83,"pointy","f","MAGNT","2568","MAGNT_R02568",0.02,192.5,3,-4.02027369650821,-4.31037064576745,-4.40568082557177,-5.00933743538066,-4.73833058992351,-4.16148386505973
"R34094","Anilios","grypusW",-25.35,131.033,"pointy","f","MAGNT","34094","MAGNT_R34094",0.022,358.5,7.75,-4.4326594997584,-4.80522120675962,-4.98993062073456,-5.43085304067946,-5.25065688319782,-3.83423581667442
"R34100","Anilios","grypusW",-20.75,130.28,"pointy","f","MAGNT","34100","MAGNT_R34100",0.02,319,7,-4.51100058229829,-4.7700891904864,-4.92578141524665,-5.46508651033451,-5.24639730936968,-3.81928095372953
"R17515","Anilios","grypusW",-25.25,131,"pointy","f","MAGNT","17515","MAGNT_R17515",0.018,388,7,-4.52830460568923,-4.84750443846141,-5.02884125859283,-5.52598142927356,-5.37878971977061,-4.01509519056796
"R14956","Anilios","grypusW",-20.87,130.27,"pointy","m","MAGNT","14956","MAGNT_R14956",0.04,318.25,13.25,-4.3678309357156,-4.76220535712961,-4.9408571850346,-5.48520550083924,-5.3149514134454,-3.17883968500528
"J93635","Anilios","affinis",-20.511,146.867,"pointy","m","QM","93635","QM_J93635",0.034,238,8,-4.33123766911941,-4.65029062126856,-4.68608862714434,-5.31100252607535,-5.09041543120244,-3.39282913199164
"J76269","Anilios","affinis",-19.75,147.8,"pointy","f","QM","76269","QM_J76269",0.01,238.5,3.5,-4.21590832071839,-4.50738546413872,-4.60517018598809,-5.12723977923319,-4.90905550127834,-4.22160634183303
"J44506","Anilios","affinis",-19.483,145.65,"pointy","m","QM","44506","QM_J44506",0.035,201,7,-4.13082277082451,-4.34204081054219,-4.65620166600054,-5.1377904695815,-4.86504997712792,-3.35739475900376
"J76610","Anilios","affinis",-25.02,147.93,"pointy","f","QM","76610","QM_J76610",0.02,256.5,5,-4.23879584496065,-4.55944793665,-4.65104064005419,-5.23231792477079,-4.88444069153559,-3.93769075217672
"J76612","Anilios","affinis",-25.09,147.866,"pointy","f","QM","76612","QM_J76612",0.012,217.5,2.5,-4.19131128575146,-4.54278916299054,-4.58019726505671,-5.10456711393046,-4.9504164341032,-4.46590811865458
"J44501","Anilios","affinis",-20.77,146.17,"pointy","f","QM","44501","QM_J44501",0.02,240,4,-4.04913221940055,-4.50419426864809,-4.70361025880134,-5.2776980793453,-4.85737787024621,-4.0943445622221
"J44503","Anilios","affinis",-20.333,146.65,"pointy","m","QM","44503","QM_J44503",0.037,230.5,8.25,-4.18321133717407,-4.71754487963521,-4.73715335102359,-5.16261912583842,-4.84692401715897,-3.33003766209011
"J45432","Anilios","affinis",-24.33,151.57,"pointy","m","QM","45432","QM_J45432",0.04,189,7.75,-4.01650207545817,-4.35385575770719,-4.4926922025614,-5.02261148514297,-4.8099645986341,-3.19405417169439
"J64586","Anilios","affinis",-23.517,150.333,"pointy","f","QM","64586","QM_J64586",0.017,204,3.5,-4.04415481769825,-4.56434819146784,-4.56906518134597,-5.14416668672078,-5.03294105161055,-4.06535702534885
"J61022","Anilios","affinis",-26.55,142.2,"pointy","m","QM","61022","QM_J61022",0.04,221,8.5,-4.31466405065969,-4.49800135157348,-4.71002806278135,-5.17902717160108,-4.93128896528095,-3.25809653802148
"J44505","Anilios","affinis",-20.2,146.283,"pointy","f","QM","44505","QM_J44505",0.012,171,2,-3.92675081213839,-4.42871374864654,-4.52108706877755,-4.97614911802509,-4.75640115571202,-4.44851637594271
"J46706","Anilios","affinis",-22.82,145.37,"pointy","m","QM","46706","QM_J46706",0.04,200,8,-4.0584949093284,-4.33896714521343,-4.58291957705327,-5.11183779960542,-4.90965937675625,-3.2188758248682
"J64584","Anilios","affinis",-23.517,150.333,"pointy","f","QM","64584","QM_J64584",0.021,193.5,4,-4.10996988012518,-4.50213796008986,-4.56465831707119,-5.03020539029035,-4.91814798137464,-3.87898315134995
"J44499","Anilios","affinis",-19.63,145.78,"pointy","f","QM","44499","QM_J44499",0.02,200,3.5,-4.22673375026785,-4.61018272781164,-4.56354851129727,-5.18498868124103,-4.79754207863555,-4.04555439805267
"J72756","Anilios","affinis",-22.345,145.4,"pointy","m","QM","72756","QM_J72756",0.029,206,6,-4.11444820569289,-4.27880432568161,-4.42771481884531,-5.0464637093514,-4.78555187796422,-3.53611669956153
"J61812","Anilios","affinis",-19.42,146.95,"pointy","m","QM","61812","QM_J61812",0.03,215.5,7,-4.26770407815702,-4.50166754360038,-4.52924087050448,-5.22023982252614,-4.99452447382356,-3.42705076048849
"J36879","Anilios","affinis",-23.517,148.167,"pointy","m","QM","36879","QM_J36879",0.031,180,5.5,-4.40677480436308,-4.46540824361293,-4.40677480436308,-5.03595310208055,-4.83179200167863,-3.48820875865179
"J81301","Anilios","affinis",-20.7,147.7,"pointy","m","QM","81301","QM_J81301",0.04,196.5,7.5,-4.10663350335645,-4.42412170384094,-4.60517018598809,-5.13656208733556,-5.02602021293574,-3.26575941076705
"J23870","Anilios","affinis",-27.567,152.883,"pointy","f","QM","23870","QM_J23870",0.02,205,4,-4.26869794936688,-4.16612878234632,-4.43511872178595,-5.00455624801987,-4.73244938735356,-3.93671561801852
"J70008","Anilios","affinis",-27.7,152.86,"pointy","m","QM","70008","QM_J70008",0.05,167.5,8,-4.13890487885296,-4.21879154377047,-4.34395468672447,-4.92623927447261,-4.50579771217489,-3.04154180958529
"J91822","Anilios","aspina",-20.768,141.742,"no spine","m","QM","91822","QM_J91822",0.025,239.5,6,-4.18519705139035,-4.52496690023312,-4.60935429251067,-5.37419340152673,-4.91040272646571,-3.68679394762292
"J67159","Anilios","chamodracaena",-12.62,141.98,"pointy","f","QM","67159","QM_J67159",0.02,187.5,4.25,-4.21493152521122,-4.29182036678773,-4.53315965001182,-5.05563266002699,-4.97141458094297,-3.78685986247414
"J87535","Anilios","leucoproctus",-9.947,142.196,"pointy","f","QM","87535","QM_J87535",0.037,218,8,-3.9223977382537,-4.2660801468248,-4.51529593844878,-5.05879492314979,-4.68885100203056,-3.30505352110925
"J87198","Anilios","leucoproctus",-10.18,142.27,"pointy","f","QM","87198","QM_J87198",0.03,160.5,5,-4.06125330759577,-4.40280169724885,-4.40534946932764,-5.10361175055436,-4.75259380293077,-3.46885603013597
"J379","Anilios","leucoproctus",-9.583,143.767,"pointy","f","QM","379","QM_J379",0.028,177.5,5,-4.16192997394117,-4.45384038250247,-4.23118120998194,-5.000824423532,-4.83538090452539,-3.56953269648137
"J87172","Anilios","leucoproctus",-10.68,142.18,"pointy","m","QM","87172","QM_J87172",0.04,142.5,6,-4.02128977605304,-4.08804863376529,-4.31485999113004,-5.12776065133367,-4.72426987752922,-3.16758253048065
"J87547","Anilios","leucoproctus",-10.167,142.133,"pointy","f","QM","87547","QM_J87547",0.034,145,5,-3.7514888028191,-4.06244501321709,-4.04260309241809,-4.76971957303625,-4.73378756381018,-3.36729582998647
"J2953","Anilios","broomi",-17.32,145.22,"pointy","m","QM","2953","QM_J2953",0.02,186,4.5,-4.14394150336147,-4.39501383020069,-4.44413084516565,-5.11689226880112,-4.96338240924571,-3.72166927693693
"J87805","Anilios","broomi",-15.765,145.231,"pointy","m","QM","87805","QM_J87805",0.033,123,4,-3.79514372039812,-4.02372699500815,-4.20513987386588,-4.70332995046034,-4.44754124178451,-3.42588999425253
"J88156","Anilios","broomi",-19.26,143.7,"pointy","m","QM","88156","QM_J88156",0.03,159.5,4.75,-4.05862647962002,-4.34449531494762,-4.3640081291712,-5.00906912306351,-4.72845421783482,-3.51389930417835
"J2954","Anilios","broomi",-17.317,145.217,"pointy","f","QM","2954","QM_J2954",0.016,188,3,-3.85641721472365,-4.48031998310862,-4.50889335555267,-5.10103732582375,-4.8343157559873,-4.13782967416184
"J47503","Anilios","broomi",-17.32,145.22,"pointy","m","QM","47503","QM_J47503",0.03,114.5,3,-3.82428409112014,-3.97976899396053,-4.15278815809218,-4.72077219569811,-4.28949920363408,-3.64196253432618
"J85788","Anilios","broomi",-19.998,148.234,"pointy","f","QM","85788","QM_J85788",0.019,209.5,4,-4.05274005771354,-4.40081784045506,-4.57693301580648,-5.1417828953655,-4.89364812000198,-3.9584293782423
"J90500","Anilios","broomi",-17.14,144.52,"pointy","m","QM","90500","QM_J90500",0.03,137,4,-3.9323001978673,-4.04868755988471,-4.21936173042948,-4.94018363314564,-4.56230648155631,-3.53368656470823
"J67603","Anilios","broomi",-19.442,145.675,"pointy","m","QM","67603","QM_J67603",0.024,210,5,-4.00293809589825,-4.34831557733157,-4.48000704303409,-5.04700293826713,-4.73462825322498,-3.73766961828337
"J90499","Anilios","broomi",-17.14,144.52,"pointy","m","QM","90499","QM_J90499",0.03,190.5,5,-4.20761025738704,-4.62639114147098,-4.4772318331123,-5.16807220757433,-5.00670601595637,-3.64021428213266
"J20315","Anilios","broomi",-16.683,145.333,"pointy","m","QM","20315","QM_J20315",0.026,189,5,-3.91732805765784,-4.40883789212454,-4.59726500648098,-5.03880617106295,-4.82633157609831,-3.63230910262554
"J47254","Anilios","broomi",-15.47,145.25,"pointy","f","QM","47254","QM_J47254",0.02,148.5,3,-4.03360111205308,-4.42397159393876,-4.29748744682964,-5.04662889674416,-4.80173409949759,-3.90197266957464
"J46849","Anilios","broomi",-15.467,145.25,"pointy","m","QM","46849","QM_J46849",0.034,118.5,4,-4.08929404643603,-4.23841959006062,-4.28021671873908,-4.84212171026864,-4.55980158095824,-3.3886185994553
"J39843","Anilios","torresianus",-12.5,141.67,"pointy","f","QM","39843","QM_J39843",0.03,327,9,-3.53132696543239,-4.06273922280677,-4.17156251709168,-4.84605427199013,-4.50348614505957,-3.59273559356103
"J30838","Anilios","torresianus",-17.433,145.483,"pointy","m","QM","30838","QM_J30838",0.053,418,22,-3.79423996977176,-4.05724239635408,-4.03130237534547,-4.78271846402939,-4.49111551683437,-2.94443897916644
"J5700","Anilios","torresianus",-16.75,145.62,"pointy","m","QM","5700","QM_J5700",0.06,372,23,-3.80083274162826,-3.94203890136841,-4.05249084204933,-4.81198276279034,-4.41592818634956,-2.783399638344
"J10885","Anilios","torresianus",-17.267,145.483,"pointy","m","QM","10885","QM_J10885",0.026,190.5,5,-3.60677950604642,-3.87088609986766,-3.88611482056948,-4.65356672684994,-4.27320753987285,-3.64021428213266
"J25566","Anilios","torresianus",-17.08,145.58,"pointy","f","QM","25566","QM_J25566",0.03,143.5,4.5,-3.5663843476323,-3.82211223527951,-3.73523356348549,-4.48082721941798,-4.17108263170258,-3.4622576384234
"J48213","Anilios","torresianus",-17.824,145.785,"pointy","m","QM","48213","QM_J48213",0.054,314,17,-3.70363750188322,-4.04464489366983,-4.12309795640773,-4.77861406875003,-4.54492030654067,-2.91617964185204
"J48248","Anilios","torresianus",-17.79,145.78,"pointy","f","QM","48248","QM_J48248",0.03,250.5,7,-3.7275414411482,-4.09314767398825,-4.05328307542433,-4.83784000638577,-4.50461160032567,-3.57754877146961
"J47248","Anilios","torresianus",-16.917,145.767,"pointy","f","QM","47248","QM_J47248",0.059,342.5,20,-3.84976811168171,-3.92821173277806,-4.14894720661111,-4.79953477275226,-4.45122807848404,-2.84053938414829
"J50852","Anilios","torresianus",-21.17,148.5,"pointy","f","QM","50852","QM_J50852",0.03,336,10.5,-3.78436822129261,-4.13721478388054,-4.1087332996742,-4.78927905335614,-4.43582934066686,-3.46573590279973
"J54031","Anilios","torresianus",-11.75,142.583,"pointy","m","QM","54031","QM_J54031",0.052,287.5,15,-3.64432183703247,-4.01545301855591,-4.07505357474266,-4.88880249878295,-4.54936534481927,-2.9531726591352
"J54041","Anilios","torresianus",-11.65,142.62,"pointy","f","QM","54041","QM_J54041",0.03,340.5,10,-3.6150232442979,-4.13755560501639,-4.03118364152281,-4.84273439762874,-4.52750237340873,-3.52783003259552
"J80559","Anilios","torresianus",-17.609,145.56,"pointy","","QM","80559","QM_J80559",0.03,640,19,-3.72645152702169,-4.24662199766768,-4.34160472017497,-5.05782517689921,-4.73513651244812,-3.51702919718728
"J79900","Anilios","torresianus",-19.63,147.05,"pointy","m","QM","79900","QM_J79900",0.06,329.5,19.5,-3.61490155762107,-3.89174442845466,-3.97787751602527,-4.64384476605337,-4.21550963830459,-2.82716188837286
"J79868","Anilios","torresianus",-19.265,146.818,"pointy","m","QM","79868","QM_J79868",0.056,321.5,18,-3.71057500716743,-4.06100304291848,-4.05291311115651,-4.75234679647928,-4.45524972509289,-2.88262578578151
"J79947","Anilios","torresianus",-22.32,148.51,"pointy","f","QM","79947","QM_J79947",0.03,395.5,13,-3.70647970437831,-4.20265928977736,-4.1246343521769,-4.84874867571661,-4.51921288309205,-3.41520142974617
"J80562","Anilios","torresianus",-17.582,145.301,"pointy","f","QM","80562","QM_J80562",0.024,488.5,12,-3.75116871553623,-4.16056310178428,-4.12321168970328,-4.88435891708267,-4.70181185572129,-3.70643282169484
"J60625","Anilios","torresianus",-15.27,145.33,"pointy","f","QM","60625","QM_J60625",0.05,386,19,-3.78621240372702,-4.06498699759254,-4.09719837139723,-4.84727474994355,-4.50774260743949,-3.01139839029839
"J81278","Anilios","torresianus",-17.206,145.681,"pointy","f","QM","81278","QM_J81278",0.03,474,14,-3.70977128196868,-3.98078986267524,-4.10900851640911,-4.83413232023516,-4.47203444124212,-3.52214999207982
"J85794","Anilios","torresianus",-17.7,145.53,"pointy","f","QM","85794","QM_J85794",0.03,543.5,16,-3.59801167715632,-4.13011951689382,-4.10581767104859,-4.88096368677462,-4.43317468226266,-3.52544098432148
"J87053","Anilios","torresianus",-15.793,145.233,"pointy","m","QM","87053","QM_J87053",0.057,350,19.5,-3.75868898550744,-3.99695861623393,-4.15682805352353,-4.89858293314886,-4.6356293934728,-2.88751868891376
"J60852","Anilios","silvia",-25.47,153.05,"pointy","","QM","60852","QM_J60852",0.05,147,7,-3.93961096194698,-3.87529099615942,-4.12123346243843,-4.87264955112235,-4.43942517337991,-3.04452243772342
"J77029","Anilios","silvia",-26.313,152.969,"pointy","","QM","77029","QM_J77029",0.027,148,4,-3.73733183749988,-4.18406230080947,-4.11966237020639,-4.72718513655106,-4.49039467139566,-3.61091791264422
"J85945","Anilios","silvia",-25.88,153.07,"pointy","f","QM","85945","QM_J85945",0.02,174,4.25,-3.90772192352876,-4.2815053956568,-4.2347963976912,-4.81901799642882,-4.59090460882927,-3.7121363162782
"J76833","Anilios","silvia",-26.424,153.026,"pointy","","QM","76833","QM_J76833",0.029,104,3,-3.6774070529517,-4.00517206060698,-3.94625617707039,-4.66970870712566,-4.25912849835073,-3.54577861047326
"J82203","Anilios","silvia",-26.59,152.98,"pointy","","QM","82203","QM_J82203",0.02,169.5,4,-3.7718763736849,-4.09611604187048,-4.01280535743233,-4.6978290164708,-4.42481713376681,-3.74655856570061
"J27386","Anilios","silvia",-25.967,153.117,"pointy","m","QM","27386","QM_J27386",0.043,141,6,-3.59938888336288,-3.74428721101058,-3.98367899433458,-4.63030615925963,-4.20207194289019,-3.15700042115011
"J23620","Anilios","silvia",-25.97,153.1,"pointy","","QM","23620","QM_J23620",0.03,138,4,-3.83700964615961,-4.0771027557876,-4.01698102560861,-4.59435926988388,-4.31748811353631,-3.54095932403731
"J35872","Anilios","silvia",-25.683,152.883,"pointy","","QM","35872","QM_J35872",0.025,157,4,-4.11039627123261,-4.52268069461283,-4.19758418631079,-4.86562544573966,-4.64413615452148,-3.66995144422842
"J31577","Anilios","silvia",-25.18,153.27,"pointy","","QM","31577","QM_J31577",0.03,144.5,4.5,-3.95262876035409,-4.14910406458614,-4.06099679707587,-4.7303333289421,-4.45448571413732,-3.46920211077621
"J46128","Anilios","silvia",-26.167,152.917,"pointy","","QM","46128","QM_J46128",0.053,131,7,-3.89687120040754,-3.92353944748971,-3.99764741964343,-4.48993492241051,-4.29019230126091,-2.92928717414584
"J31576","Anilios","silvia",-25.18,153.27,"pointy","","QM","31576","QM_J31576",0.03,145,4,-3.88481044190326,-4.10126500506667,-4.09296620225198,-4.69532128298239,-4.40858305203531,-3.59043938130068
"J8521","Anilios","silvia",-26.633,152.967,"pointy","","QM","8521","QM_J8521",0.05,169.5,8.5,-3.86590532333318,-3.94806294191134,-4.05785050379153,-4.58762587633718,-4.33760052332341,-2.99278676332423
"J31579","Anilios","silvia",-24.87,153.27,"pointy","","QM","31579","QM_J31579",0.03,140,4,-3.98037832509242,-4.13071220639298,-4.02535169073515,-4.61594228297,-4.37917356569147,-3.55534806148941
"J43785","Anilios","silvia",-25.967,153.117,"pointy","","QM","43785","QM_J43785",0.056,71,4,-3.68046425718865,-3.72911476630584,-3.74091431323699,-4.3245552807594,-4.05566570765699,-2.87638551592142
"J27387","Anilios","silvia",-25.97,153.12,"pointy","","QM","27387","QM_J27387",0.04,154,5.5,-3.72726934366558,-4.07187170637004,-4.02172192268457,-4.61495819235425,-4.26684438071756,-3.3322045101752
"J63736","Anilios","robertsi",-15.833,145.233,"pointy","","QM","63736","QM_J63736",0.016,277.5,4.75,-4.12063304212619,-4.58025786560819,-4.54571211608294,-5.03526034140164,-4.57850193890593,-4.06767631513994
"J7","Anilios","aspina",-23.28,145.4,"no spine","","QM","7","QM_J7",0.01,277.5,3,-4.49926927582914,-4.79074025673788,-4.70953020131233,-5.32942692013269,-5.16523652585725,-4.52720864451838
"J51541","Anilios","aspina",-23.45,145.267,"no spine","","QM","51541","QM_J51541",0.024,230,5.5,-4.10307824219085,-4.42284862919414,-4.50986000618377,-5.14168529586939,-4.95874435224858,-3.73333121668477
"J54987","Anilios","insperatus",-27.82,152.62,"pointy","","QM","54987","QM_J54987",0.03,93.7,2.9,-3.55989413162657,-3.86460594392315,-3.90882641240252,-4.35777663245042,-4.0669744326624,-3.47538745225195
"J31963","Anilios","chamodracaena",-12.55,141.817,"pointy","m","QM","31963","QM_J31963",0.025,157,4,-4.19335585020127,-4.42497402850645,-4.42497402850645,-4.96093562554398,-4.69508095613672,-3.66995144422842
"J51980","Anilios","chamodracaena",-16.233,141.75,"pointy","f","QM","51980","QM_J51980",0.014,175.5,2.5,-4.00605195507642,-4.57707845112108,-4.55787347128503,-5.00212460442835,-4.75884614470508,-4.25134831103177
"J39673","Anilios","chamodracaena",-13.08,141.95,"pointy","f","QM","39673","QM_J39673",0.01,205,2.5,-4.37716044502271,-4.66032200606317,-4.56688799941707,-5.07614990120688,-4.88475504820725,-4.40671924726425
"J28082","Anilios","chamodracaena",-12.967,143.483,"pointy","f","QM","28082","QM_J28082",0.017,203,3.5,-4.11474835540396,-4.16580352620425,-4.47163879336357,-5.01310138659145,-4.66610273698325,-4.06044301054642
"J40233","Anilios","chamodracaena",-13.08,141.95,"pointy","f","QM","40233","QM_J40233",0.01,154.5,2,-4.2072849734027,-4.49496704585448,-4.40892231949594,-4.90043215396264,-4.66863053990532,-4.34704691577786
"J2943","Anilios","diversus",-26.417,147.117,"pointy","f","QM","2943","QM_J2943",0.02,195.5,4,-4.11084828905279,-4.52887243193745,-4.42754848830456,-5.0890808124828,-4.75083185049044,-3.88926601830553
"J76624","Anilios","wiedii",-26.58,148.77,"pointy","f","QM","76624","QM_J76624",0.02,238.5,4.25,-4.12370212685166,-4.63280212465018,-4.57828128577176,-5.16688461058044,-4.85918367123816,-4.02745032739207
"J27592","Anilios","wiedii",-27.467,153.017,"pointy","f","QM","27592","QM_J27592",0.024,253.5,6,-4.12681885297653,-4.43342374427045,-4.51471307583284,-4.89614498449685,-4.72665830183702,-3.74360435380318
"J84833","Anilios","wiedii",-27.47,152.85,"pointy","f","QM","84833","QM_J84833",0.02,202,3.5,-4.02455992505642,-4.31316578510276,-4.41422257447437,-5.00078299765324,-4.79245453212418,-4.05550472890584
"J25081","Anilios","wiedii",-28.033,151.983,"pointy","f","QM","25081","QM_J25081",0.019,214.5,4,-3.96098801005611,-4.33690619939341,-4.38062901040724,-5.04985600724954,-4.68774134001499,-3.98201537724818
"J23961","Anilios","wiedii",-27.28,153,"pointy","f","QM","23961","QM_J23961",0.02,259,5,-3.96963575821276,-4.30836001748705,-4.35686327877114,-4.79836141501895,-4.54341061909466,-3.94739014926544
"J43373","Anilios","wiedii",-24.133,149.8,"pointy","m","QM","43373","QM_J43373",0.035,285.5,7.5,-4.40864755007931,-4.594717129136,-4.78924459160946,-5.30007021537545,-4.92911180268307,-3.6393390085538
"J69267","Anilios","wiedii",-23.75,151.12,"pointy","m","QM","69267","QM_J69267",0.04,206,8.5,-3.9720410151544,-4.25458168810576,-4.3346243957793,-4.95976684722519,-4.82105856642113,-3.18781000529331
"J68759","Anilios","wiedii",-22.915,149.829,"pointy","m","QM","68759","QM_J68759",0.038,159.5,6,-3.74629606097304,-4.12425452329137,-4.196575184871,-4.9023011476378,-4.65333358736671,-3.28028445299684
"J9535","Anilios","wiedii",-30.98,150.25,"pointy","f","QM","9535","QM_J9535",0.01,284.5,3.5,-4.11386603396712,-4.30526088696675,-4.45681078509395,-5.06851763371372,-4.87600608601402,-4.39797028507102
"J7855","Anilios","wiedii",-27.183,151.25,"pointy","m","QM","7855","QM_J7855",0.034,205.75,7.25,-3.88092001979387,-4.28109877197888,-4.3334100665469,-4.87877601556506,-4.72782533846847,-3.3456603706906
"J3207","Anilios","wiedii",-24.87,152.35,"pointy","m","QM","3207","QM_J3207",0.04,200.5,8,-4.18076667735845,-4.23094442694417,-4.37854144319492,-4.92580834612317,-4.77018599568445,-3.22137270506679
"J7468","Anilios","wiedii",-27.183,151.25,"pointy","m","QM","7468","QM_J7468",0.041,196,8,-4.06171933490602,-4.12280702688586,-4.33615618060778,-4.90310875860706,-4.71564580231269,-3.19867311755068
"J85695","Anilios","yirrikalae",-18.7,138.49,"pointy","f","QM","85695","QM_J85695",0.02,315,5.25,-4.0560400195406,-4.30330347854435,-4.40579903586803,-4.88127927288221,-4.53617731450114,-4.0943445622221
"J84363","Anilios","proximus",-26.865,151.852,"pointy","f","QM","84363","QM_J84363",0.023,433,10,-3.25592799032875,-3.65036959935206,-3.97149355902647,-4.62971846719335,-4.2583589715717,-3.76815263500844
