"species","svl","sh_mbd","sh_mtw","sh_hwe","sh_hda","sh_hd","sh_tl","PC1","PC2","PC3","log_svl","log_tl","fil_PC1","fil_PC2","fil_PC3"
"Anilios obtusifrons",202.666666666667,-4.56084695609192,-4.80356671605242,-4.73980499822236,-5.25881637280987,-4.99402319411898,-3.54438810947929,-2.68316730179547,-0.968550595535965,-0.722252402227655,5.31049389832863,1.76610578884935,2.11767447580427,1.43339875266687,0.707178422743466
"Anilios pilbarensis",316.333333333333,-3.85157673206543,-4.08009025288517,-4.30558674574421,-5.03606797703184,-4.70854905375502,-3.66615873893415,0.470395175371925,-0.665136098110586,0.60264134709394,5.75447436636712,2.22384968326266,-0.885294985840249,0.307337676890172,-0.787870460150645
"Anilios pinguis",341.15,-3.32510973684246,-3.71504394158417,-3.78354706243391,-4.46404285451779,-4.10465357852939,-3.40053497347798,4.01355949611535,0.247179037010926,0.149847063114287,5.79173983406247,2.3759920385782,-4.60907703837725,-0.133482701900017,-0.206460315208652
"Anilios proximus",357.857142857143,-3.48226743677062,-3.90115817055093,-3.95205854777746,-4.58064224585863,-4.28409471609694,-3.9218899495308,2.85753744207811,0.932720736174497,0.258844999065622,5.86057464111247,2.01506621604509,-3.03707970509438,-1.3230058518531,-0.357883907229659
"Anilios robertsi",277.5,-4.12063304212619,-4.58025786560819,-4.54571211608294,-5.03526034140164,-4.57850193890593,-4.06767631513994,-1.07577949212914,0.846755777496232,-0.397807776253129,5.62582093318649,1.55814461804655,0.631558736078335,-0.710498501769616,0.318635809850598
"Anilios silvia",137.735294117647,-3.84902282181292,-4.09837357735434,-4.03386142602098,-4.66582793312171,-4.37678057452207,-3.39743184122574,1.79528028150794,-0.130318628024709,-0.519320821678494,4.90241115371323,1.50497931248749,-2.46877922216265,0.491707360002743,0.477398638073401
"Anilios sp",248.5,-4.12665160421821,-4.37122004561652,-4.62139772260985,-5.13018044474604,-4.80004505604192,-4.01136544876041,-1.32063008147304,0.459821806467599,0.29556075820564,5.51544284553668,1.50407739677627,0.850250328290265,-0.361390170255491,-0.412394120129816
"Anilios systenos",211.666666666667,-4.50144499057809,-4.6979074693315,-4.83127731624472,-5.35779049853051,-5.10598736980056,-3.8877303128591,-2.76699835086981,-1.57173232797643,-0.189025843751342,5.32913675565542,1.97959476309302,2.64910743573984,0.582635282409329,-0.0474067942046146
"Anilios torresianus",388.958333333333,-3.70517302408668,-4.04727686901473,-4.07457966571081,-4.80935266282602,-4.47890383333266,-3.43035834486046,1.73831205723728,-0.596126314606843,0.130652134815122,5.82091573071645,2.47060706369306,-2.28035298716582,0.544023772862064,-0.217373435065975
"Anilios tovelli",122.821428571429,-3.64290520589058,-4.04065244607777,-3.95735678659847,-4.64784520636131,-4.35970877617058,-3.33714289725035,2.30875646420316,-0.123548367173458,-0.177078120456293,4.79828392968909,1.46114103243874,-3.00463964478086,0.54023751058272,0.189780334741641
"Anilios troglodytes",250.75,-4.07890246096307,-4.52821678137761,-4.45075975438812,-5.19493112452006,-4.87538231864733,-3.95400634556068,-1.38777224782389,0.387444209028272,0.23254151354704,5.4938572441164,1.53985089855572,0.909157818157139,-0.117835804473479,-0.344094854381456
"Anilios unguirostris",346.909090909091,-4.04429379192286,-4.51153479068641,-4.50982755125548,-5.14538462491128,-4.84768193360653,-4.28904397075114,-1.19342564041076,0.756047590870482,0.322978792484835,5.81475700320537,1.52571303245423,1.13469923151716,-1.15462811980036,-0.473204978781396
"Anilios vagurima",324.5,-4.4472844694118,-4.62226461934739,-4.46052969616183,-4.96250570465083,-4.78533690125253,-4.39599117502425,-1.79671545214523,1.42716858276867,-0.909087903359261,5.78228553614414,1.38629436111989,1.45813375900231,-1.52942561904143,0.659456954632745
"Anilios waitii",335.454545454545,-4.3805511887274,-4.75637717601548,-4.81626431013318,-5.34670634190725,-5.14592667145222,-4.29563715900838,-3.05536767736522,0.0217187779997919,0.237513619999253,5.80935063076607,1.52479939631889,2.98561092936707,-0.628544442200929,-0.326269407936994
"Anilios wiedii",229.032608695652,-4.05824664688126,-4.3260072429959,-4.42515435040491,-5.00034103957904,-4.73923496757724,-3.99228997918557,-0.413799913276919,-0.134199923515192,0.0032388828117396,5.4204089085156,1.50115357992526,0.15459560021335,-0.534965224572767,-0.218085268480033
"Anilios yampiensis",129,-4.19712443128644,-4.66096154561651,-4.38980877511594,-5.01063529409626,-4.75545238903743,-4.16666522380173,-1.32588460955129,1.05196545101181,-0.567938307281422,4.85981240436167,0.693147180559945,0.920912841621132,-0.932880838002835,0.43718960501759
"Anilios yirrikalae",197.3,-3.89525403050035,-4.22592420299885,-4.15869662700116,-4.68759182596035,-4.40844950491493,-3.86020804210052,1.03213429448696,0.865464570341959,-0.520393993716133,5.24020306043316,1.37999501833264,-1.56093859599813,-0.752014273482518,0.434421123612487
"Anilios zonula",167,-4.26267159788908,-4.44503898329715,-4.55067504413389,-5.24072623956987,-4.97236525553509,-3.76092962610081,-1.70900221406663,-0.296306607351523,0.203048467041931,5.11495472665192,1.35402510055111,1.17245521104038,0.604314031382623,-0.33764122899992
"Ramphotyphlops acuticauda",219.5,-4.00619922710277,-4.51454388118557,-4.27432594961702,-5.03630494513168,-4.62729769049011,-3.37730204974398,-0.100880831069358,-0.615284461127797,-0.383163874634932,5.38997789511156,2.01267584536757,-0.548761444791136,1.20518422591639,0.397730816939448
"Ramphotyphlops depressus",197.333333333333,-3.91234728919078,-4.19698083951985,-4.06862486785146,-4.77036844217025,-4.46619440674308,-3.04804771420302,1.50780686972822,-1.07251746153614,-0.576221877775329,5.27625162342567,2.22820390922264,-2.27358744246018,1.68839969260237,0.609019442404961
"Ramphotyphlops multilineatus",345,-4.23210850193459,-4.41084368309731,-4.39898114778749,-5.301220126206,-4.85029264402108,-3.35863776724336,-1.08579833478261,-1.13237912142797,0.0857053278807737,5.84354441703136,2.484906649788,0.419617070920961,1.74372383342909,-0.222796904560579
