"reg_no","genus","species","latitude","longitude","tail_shape","sex","institution","plain_number","id","ratio","svl","tail_length","midbody_diameter","midtail_diameter","head_width","head_depth","ant_nostril_to_ant_eyes","distance_between_eyes_closest","distance_from_forehead_between_eyes_to_snout","lower_lip_to_snout","mouth_width","tip_of_mouth_to_head_depth","headlength_xray","precloacal_vert","postcloacal_vert","confidence","total_length"
"R52863","Anilios","centralis",-26.487,134.042,"tapers to a point, small spur","f","SAM","52863","SAM_R52863",0.014,289,4,5.04,2.92,2.99,2.25,1.72,2.3,2.87,1.21,1.37,1.71,5.12,235,11,"yes",293
"R56511","Anilios","centralis",-26.99,133.41,"tapers to a point, small spur","f","SAM","56511","SAM_R56511",0.01,305,4,4.35,3.09,2.18,1.87,2.69,3.12,3.04,1.55,1.36,1.8,5.589,250,13,"yes",309
"R3809","Anilios","centralis",-23.7,133.87,"tapers to a point, small spur","m","SAM","3809","SAM_R3809",0.02,205,4,2.52,2.19,2.55,2.03,1.44,2.23,2.46,1.19,1.45,1.34,4.878,229,12,"yes",209
"R51244","Anilios","centralis",-27.02,133.47,"tapers to a point, small spur","m","SAM","51244","SAM_R51244",0.03,284,7,4.27,3.57,3.06,2.35,2.19,2.83,3.2,1.33,1.65,1.62,5.58,224,15,"yes",291
"R40480","Anilios","centralis",-26.42,135.4,"tapers to a point, small spur","u","SAM","40480","SAM_R40480",0.027,256,7,3.58,2.66,2.58,1.83,1.44,2.08,2.61,1.33,1,1.46,4.937,214,12,,263
"R932","Ramphotyphlops","depressus",,,"cone shape, taper to a point","f","SAM","932","SAM_R932",0.04,178,8,3.39,2.84,2.99,2.14,1.68,2.42,2.57,1.06,1.92,1.41,5.192,211,19,"yes",186
"R60242","Ramphotyphlops","depressus",-5.371,152.111,"cone shape, taper to a point","f","SAM","60242","SAM_R60242",0.043,235,10,4.67,3.17,3.63,2.24,2.23,3.07,2.62,1.35,2.04,1.87,6.594,190,16,"yes",245
"R934","Ramphotyphlops","depressus",,,"cone shape, taper to a point","m","SAM","934","SAM_R934",0.06,179,10,3.78,2.83,3.45,2.37,1.73,2.9,2.3,1.22,1.5,1.73,5.553,194,19,"yes",189
"R1353","Anilios","diversus",-17.97,122.23,"round, spur facing down","f","SAM","1353","SAM_R1353",0.021,195,4,2.39,1.56,2.02,1.49,1.45,1.95,1.81,1.06,1.33,1.08,,,,"yes",199
"R51126","Anilios","diversus",-15.77,128.73,"round, spur facing down","f","SAM","51126","SAM_R51126",0.01,243,3,3.99,2.27,2.7,1.79,1.59,2,2.24,1.27,1.44,1.33,5.134,209,12,"yes",246
"R925","Anilios","diversus",-17.97,122.23,"round, spur facing down","m","SAM","925","SAM_R925",0.031,192,6,3.13,2.04,2.55,1.92,1.31,2.09,1.93,1.13,1.57,1.41,5.289,186,17,"yes",198
"R55325","Anilios","diversus",-21.91,140.01,"round, spur facing down","u","SAM","55325","SAM_R55325",0.02,183,3,2.43,1.28,2.11,1.15,1.38,1.61,1.44,0.5,0.59,0.86,,,,,186
"R26684","Anilios","endoterus",-29.358,134.47,"round to point, no spur","f","SAM","26684","SAM_R26684",0.019,263,5,3.76,2.65,3.32,2.7,2.4,2.82,3.11,1.44,1.49,1.58,5.768,214,12,"yes",268
"R44676","Anilios","endoterus",-27.32,133.3,"round to point, no spur","f","SAM","44676","SAM_R44676",0.02,292,6,3.68,3.16,3.47,2.9,2.06,3.1,3.57,1.65,1.56,1.8,6.327,213,13,"yes",298
"R45295","Anilios","endoterus",-30.823,135.822,"round to point, no spur","f","SAM","45295","SAM_R45295",0.016,243,4,4.21,2.7,3.46,2.3,1.36,2.58,3.05,1.49,1.43,1.69,6.169,209,13,"yes",247
"R45442","Anilios","endoterus",-26.95,131.44,"round to point, no spur","f","SAM","45442","SAM_R45442",0.02,314,5,5.47,3.45,3.91,2.76,1.64,3.37,3.29,1.59,1.96,1.75,6.166,218,12,"yes",319
"R50991","Anilios","endoterus",-27.423,140.229,"round to point, no spur","f","SAM","50991","SAM_R50991",0.015,330,5,5.02,3.37,4.4,3.19,2.28,3.25,3.71,2,1.6,2.16,7.341,212,12,"yes",335
"R51038","Anilios","endoterus",-27.29,140.29,"round to point, no spur","f","SAM","51038","SAM_R51038",0.03,263,9,3.44,2.78,3.22,2.18,1.83,2.83,2.89,1.59,1.43,1.63,5.27,245,15,"yes",272
"R65617","Anilios","endoterus",-30.617,135.612,"round to point, no spur","f","SAM","65617","SAM_R65617",0.017,293,5,5.02,3.97,2.8,2.09,3.45,3.12,3.19,1.74,1.63,1.85,5.756,215,11,"yes",298
"R66587","Anilios","endoterus",-30.3,138.02,"round to point, no spur","f","SAM","66587","SAM_R66587",0.02,291,5,5.15,2.7,3.78,2.57,2.04,3.38,3.6,1.7,1.16,1.76,7.16,211,14,"yes",296
"R70802","Anilios","endoterus",-28.815,129.549,"round to point, no spur","f","SAM","70802","SAM_R70802",0.019,258,5,4.18,3.4,3.7,2.56,1.96,2.41,3.45,1.71,1.61,1.62,6.122,203,13,"yes",263
"R20864","Anilios","endoterus",-30.45,136.88,"round to point, no spur","m","SAM","20864","SAM_R20864",0.03,250,8,3.54,2.84,3.06,2.52,1.41,2.42,2.72,1.15,1.3,1.33,5.669,211,19,"yes",258
"R58079","Anilios","endoterus",-28.399,134.088,"round to point, no spur","m","SAM","58079","SAM_R58079",0.016,308,5,5.34,3.48,3.95,2.48,1.96,2.85,3.5,1.85,1.35,1.71,6.946,215,13,"yes",313
"R4639","Anilios","grypusW",-21.32,117.22,"round to point","f","SAM","4639","SAM_R4639",0.02,292,6,3.62,1.92,2.12,1.49,1.44,1.85,2.23,1.08,1.15,1.22,4.655,317,14,"yes",298
"R19007","Anilios","grypusET",-25.9,139.35,"round to point","f","SAM","19007","SAM_R19007",0.014,276,4,2.81,1.72,2.23,1.76,1.41,1.86,2.36,0.9,1.15,1.29,4.332,283,14,"yes",280
"R55272","Anilios","grypusET",-21.9,140,"round to point","m","SAM","55272","SAM_R55272",0.02,237,5,2.36,2,2.19,1.51,1.09,1.76,2.03,1.03,1.03,1.06,3.753,274,13,"yes",242
"R55460","Anilios","grypusET",-26.25,139.236,"round to point","m","SAM","55460","SAM_R55460",0.021,239,5,2.27,1.71,2.03,1.37,1.05,1.72,2.08,0.69,0.83,0.99,4.168,272,14,"yes",244
"R14026","Anilios","guentheri",-17.85,129.63,"round to point, small spur","f","SAM","14026","SAM_R14026",0.02,247,4,2.47,1.42,2.09,1.25,1.28,1.76,1.67,0.83,0.94,1.02,4.515,284,11,"yes",251
"R20439","Anilios","guentheri",-15.47,128.1,"round to point, small spur","f","SAM","20439","SAM_R20439",0.012,245,3,2.14,1.34,1.83,1.28,1.07,1.84,1.91,0.81,0.96,1.21,,,,"yes",248
"R53885","Anilios","guentheri",-17.83,125.37,"round to point, small spur","m","SAM","53885","SAM_R53885",0.02,258,5,2.85,2.24,2.33,1.67,1.19,1.9,1.8,0.9,1.18,1.26,4.57,293,14,"yes",263
"R29495","Anilios","hamatus",-28.62,121.53,"round to point, small spur","m","SAM","29495","SAM_R29495",0.041,270,11,5.42,4.33,4.09,2.91,2.13,3.13,4.29,1.91,2.19,2.02,7.377,174,15,"yes",281
"R50","Anilios","ligatusE",-27.47,152.58,"taper to a point, pointy spur","f","SAM","50","SAM_R50",0.03,290,9,8.82,5.01,6.68,4.52,3.55,5,3.95,1.94,3.67,2.66,10.208,149,15,"yes",299
"R920","Anilios","ligatusE",-29.43,147.98,"taper to a point, pointy spur","f","SAM","920","SAM_R920",0.027,365,10,13.67,7.26,7.57,5.66,4.21,6.19,5.53,2.91,4.58,3.78,12.275,148,14,"yes",375
"R921","Anilios","ligatus",,,"taper to a point, pointy spur","f","SAM","921","SAM_R921",0.03,277,7,10.64,6.49,5.2,3.76,4.16,5.18,4.28,2.23,4.18,3.16,10.571,152,15,"yes",284
"R3897","Anilios","ligatusE",-19.6,146.83,"taper to a point, pointy spur","m","SAM","3897","SAM_R3897",0.043,234,10,6.36,5.05,4.9,3.19,2.4,3.85,3.62,1.74,2.5,1.95,8.373,144,15,"yes",244
"R31019","Anilios","ligatusE",-30.18,149.93,"taper to a point, pointy spur","m","SAM","31019","SAM_R31019",0.04,280,12,9.1,5.5,5.66,4.02,3.33,5.32,4.01,1.95,3.02,2.71,10.354,140,18,"yes",292
"R71387","Anilios","ligatusE",-19.216,145.428,"taper to a point, pointy spur","m","SAM","71387","SAM_R71387",0.039,230,9,8.46,5.27,4.79,3.19,3.04,3.85,3.79,1.77,2.2,2.36,8.4,142,15,"yes",239
"R65743","Anilios","margaretae",-30.17,131.58,"taper to a point","m","SAM","65743","SAM_R65743",0.02,232,4,2.65,1.78,1.87,1.54,1.26,1.41,2.13,0.98,0.88,1.15,3.594,271,14,"yes",236
"R67495","Anilios","margaretae",-29.402,130.74,"taper to a point","u","SAM","67495","SAM_R67495",0.016,244,4,2.4,1.61,1.91,1.47,1.2,1.52,2,1.03,0.74,1.21,3.77,271,14,,248
"R70458","Ramphotyphlops","multilineatus",-6.91,144.96,"cone shape, taper to a point","m","SAM","70458","SAM_R70458",0.04,345,12,5.01,4.19,4.24,2.7,2.5,3.58,3.31,1.7,2.4,1.72,6.694,259,17,"yes",357
"R918","Anilios","nigrescens",-37.08,149.9,"taper to a point, pointy spur","f","SAM","918","SAM_R918",0.026,502,13,8.19,7.11,7.3,4.43,4.01,5.81,5.42,2.65,3.4,3.06,11.4125,218,16,"yes",515
"R919","Anilios","nigrescens",-37.08,149.9,"taper to a point, pointy spur","f","SAM","919","SAM_R919",0.02,484,9,10.03,6.99,7.35,4.87,3.74,5.55,4.98,2.58,4.34,3.21,11.303,188,15,"yes",493
"R31021","Anilios","nigrescens",-28.8,152.08,"taper to a point, pointy spur","f","SAM","31021","SAM_R31021",0.029,408,12,8.46,5.33,6.63,4.51,3.69,5.29,4.72,2.35,2.98,3.25,10.113,200,16,"yes",420
"R34713","Anilios","nigrescens",-33.33,151.32,"taper to a point, pointy spur","f","SAM","34713","SAM_R34713",0.02,348,8,7.1,4.79,3.81,3.16,2.62,4,3.87,1.76,2.02,2.44,8.573,210,14,"yes",356
"R39127","Anilios","nigrescens",-30.88,151.2,"taper to a point, pointy spur","f","SAM","39127","SAM_R39127",0.018,223,4,5.06,4.15,3.63,2.57,2.28,2.79,3.04,1.52,1.88,1.85,7.02,183,12,"yes",227
"R3932","Anilios","nigrescens",-33.95,151.13,"taper to a point, pointy spur","m","SAM","3932","SAM_R3932",0.04,282,12,5.68,4.62,4.01,2.96,2.37,3.31,2.96,1.61,2.01,2.15,7.56,189,21,"yes",294
"R31022","Anilios","nigrescens",-28.8,152.08,"taper to a point, pointy spur","m","SAM","31022","SAM_R31022",0.025,325,8,5.96,4.42,4.91,3.64,2.62,3.95,3.42,2.03,2.28,2.5,9.251,201,14,"yes",333
"R31023","Anilios","nigrescens",-29.65,152.05,"taper to a point, pointy spur","m","SAM","31023","SAM_R31023",0.05,280,13,5.56,5.38,4.25,2.97,2.62,3.72,3.26,1.74,2.23,2.26,7.649,188,18,"yes",293
"R31024","Anilios","nigrescens",-29.65,152.05,"taper to a point, pointy spur","m","SAM","31024","SAM_R31024",0.035,287,10,5.6,5.79,4.22,2.93,2.55,3.95,3.4,1.75,1.51,2.07,7.658,186,19,"yes",297
"R67932","Anilios","nigrescens",-33.09,151.24,"taper to a point, pointy spur","m","SAM","67932","SAM_R67932",0.03,312,10,5.48,5.65,4.22,3.72,2.31,3.59,3.3,1.59,2.94,2.09,7.757,193,20,"yes",322
"R923","Anilios","pinguis",-33.68,117.55,"sharp pointy","f","SAM","923","SAM_R923",0.033,360,12,13.1,8.56,8.47,6.06,4.96,6.39,6.95,3.31,4.25,4.27,13.624,148,13,"yes",372
"R927","Anilios","torresianus",,,"taper to a point","m","SAM","927","SAM_R927",0.05,218,11,4.77,3.45,3.76,2.39,1.95,2.44,1.92,1.19,1.77,1.73,6.591,195,22,"yes",229
"R200","Anilios","proximus",-25.6,152.6,"taper to a point, pointy spur","f","SAM","200","SAM_R200",0.017,362,6,7.63,6.57,6.1,4.35,3.47,5.06,5.27,2.41,3.52,3.04,9.268,180,11,"yes",368
"R916","Anilios","proximus",-32.8,149.97,"taper to a point, pointy spur","f","SAM","916","SAM_R916",0.02,383,7,9.25,6.73,6.83,5.28,4.15,5.56,5.9,2.71,4.06,3.22,10.941,169,11,"yes",390
"R922","Anilios","proximus",,,"taper to a point, pointy spur","f","SAM","922","SAM_R922",0.011,370,4,10.17,7.03,7.12,5.86,4.01,6.02,5.76,2.7,5.21,3.63,10.855,171,12,"yes",374
"R22713","Anilios","proximus",-25.32,148.83,"taper to a point, pointy spur","f","SAM","22713","SAM_R22713",0.02,404,9,14.41,9.98,8.02,5.98,4.46,6.34,6.01,2.88,4.05,3.91,11.599,171,13,"yes",413
"R47090","Anilios","silvia",-25.95,153.13,"taper to a point","u","SAM","47090","SAM_R47090",0.02,98,2,2.34,1.3,1.91,1.34,0.73,1.33,1.34,0.38,0.65,0.88,3.971,167,14,,100
"R47349","Anilios","silvia",-25.95,153.13,"taper to a point","u","SAM","47349","SAM_R47349",0.04,110,5,1.77,1.21,2,1.16,0.91,1.28,1.46,1.06,0.74,1.03,3.865,164,16,,115
"R64769","Acutotyphlops","subocularis",-5.446,151.464,"taper to a point, pointy spur","u","SAM","64769","SAM_R64769",0.049,164,8,3.42,2.17,3.23,2.18,1.76,3.17,2.6,2,2.53,0.91,7.275,167,15,,172
"R64770","Acutotyphlops","subocularis",-5.45,151.46,"taper to a point, pointy spur","u","SAM","64770","SAM_R64770",0.07,287,19,7.15,6.34,4.23,2.85,2.18,4.21,3.39,1.38,2.64,1.23,10.384,169,14,,306
"R1272C","Anilios","tovelli",-12.45,130.83,"taper to a point","f","SAM","1272C","SAM_R1272C",0.047,107,5,2.63,2.04,1.8,1.66,1.38,1.63,1.73,0.97,1.18,1.05,4.296,139,15,"yes",112
"R1272A","Anilios","tovelli",-12.45,130.83,"taper to a point","u","SAM","1272A","SAM_R1272A",0.05,109,5,2.9,2.06,2.1,1.63,0.97,1.68,1.92,1.47,1.24,1.16,4.364,132,17,,114
"R54430","Anilios","unguirostris",-17.435,141.276,"taper to a point","m","SAM","54430","SAM_R54430",0.019,257,5,4.11,2.49,3.18,2.14,1.91,2.29,2.94,1.59,1.18,1.35,7.034,210,13,"yes",262
"R904","Anilios","waitii",-32.12,116.93,"tapers to a point, small spur","f","SAM","904","SAM_R904",0.02,340,6,5.39,3.96,3.36,2.29,1.8,2.86,2.95,1.77,1.89,1.88,5.81,310,14,"yes",346
"R75461","Anilios","unguirostris",-16.583,128.8,"pointy","f","WAM","75461","WAM_R75461",0.015,411,6,6.88,4.09,4.02,3.31,3.05,3.15,4.77,2.45,2.2,2.09,7.49,221,13,"yes",417
"R70725","Anilios","unguirostris",-16.63,125.92,"pointy","f","WAM","70725","WAM_R70725",0.01,445,6,7.61,5.01,4.28,2.78,3.13,3.49,4.27,2.14,1.92,2.19,7.33,238,14,"yes",451
"R117861","Anilios","unguirostris",-17.663,124.933,"pointy","m","WAM","117861","WAM_R117861",0.016,251,4,3.45,3.34,3.02,2.19,2.15,2.51,3,1.61,1.47,1.52,5.78,242,11,"tail",255
"R125664","Anilios","pinguis",-31.57,115.71,"pointy spur","m","WAM","125664","WAM_R125664",0.03,258,8,9,6.92,6.79,4.46,3.72,4.71,4.89,2.27,2.97,2.97,9.2,151,12,"yes",266
"R96220","Anilios","pinguis",-32.05,115.95,"pointy spur","m","WAM","96220","WAM_R96220",0.056,285,16,11.5,9.96,7.82,5.47,4.17,5.79,6.27,2.82,3.63,3.88,9.8,143,16,"yes",301
"R82627","Anilios","pinguis",-31.98,115.97,"pointy spur","f","WAM","82627","WAM_R82627",0.05,363,19,11.92,9.48,8.75,5.73,4.62,7.15,6.88,3.12,4.89,4.34,11.11,151,12,"yes",382
"R146959","Anilios","howi",-14.3,126.633,"taper point","f","WAM","146959","WAM_R146959",0.015,262,4,2.43,2.3,1.96,1.33,1.15,1.61,1.78,0.86,0.79,1.19,4.13,297,8,"tail",266
"R146381","Anilios","howi",-14.3,126.63,"taper point","f","WAM","146381","WAM_R146381",0.02,171,3,1.93,1.64,1.69,1.37,1.02,1.62,1.51,0.97,0.85,0.88,3.47,295,7,"tail",174
"R141536","Anilios","howi",-14.3,126.633,"taper point","f","WAM","141536","WAM_R141536",0.018,217,4,3.11,2.25,2.1,1.33,1.27,1.89,1.63,0.98,0.91,0.99,4.02,295,14,"yes",221
"R23560","Anilios","tovelli",-12.35,130.87,"taper point","f","WAM","23560","WAM_R23560",0.03,128,4,3.14,1.97,2.28,1.49,1.24,1.86,1.66,1.05,1.2,1.09,4.26,146,10,"yes",132
"R163269","Anilios","margaretae",-28.688,125.848,"taper point",,"WAM","163269","WAM_R163269",0.01,286,3,3.52,2.79,2.69,2.13,1.86,2.04,3.08,1.92,1.09,1.7,4.48,281,9,,289
"R135344","Anilios","australis",-32.68,115.7,"taper point","m","WAM","135344","WAM_R135344",0.04,180,8,4.85,3.72,3.13,2.27,2.05,2.69,3.28,1.44,1.55,1.82,5.92,153,17,"yes",188
"R135343","Anilios","australis",-32.683,115.7,"taper point","f","WAM","135343","WAM_R135343",0.025,237,6,6.2,3.77,3.85,2.82,2.42,3.43,3.59,1.81,1.77,2.08,6.94,,,"yes",243
"R140516","Anilios","australis",-30.61,115.25,"taper point","m","WAM","140516","WAM_R140516",0.05,148,7,3.84,2.94,2.8,2.08,1.68,2.22,2.5,1.14,1.36,1.32,4.72,154,13,"yes",155
"R141875","Anilios","australis",-33.648,115.416,"taper point","m","WAM","141875","WAM_R141875",0.042,168,7,3.9,3.71,2.94,2.23,2.02,2.51,2.81,1.47,1.65,1.75,5.76,,,"yes",175
"R136224","Anilios","australis",-33.09,117.7,"taper point","f","WAM","136224","WAM_R136224",0.03,220,7,4.96,4.1,3.63,2.61,2.32,2.88,3.6,1.87,1.67,1.96,6.79,,,"yes",227
"R137473","Anilios","australis",-33.55,115.85,"taper point","f","WAM","137473","WAM_R137473",0.026,266,7,5.28,4.61,4.21,2.88,2.7,3.37,4.23,2.07,1.65,2.2,7.93,,,"tail",273
"R134937","Anilios","australis",-31.4,116.15,"taper point","f","WAM","134937","WAM_R134937",0.03,265,7,6.87,4.17,4.25,2.84,2.9,3.46,4.08,1.8,1.74,2.21,7.95,160,14,"yes",272
"R134504","Anilios","australis",-32.693,119.34,"taper point","f","WAM","134504","WAM_R134504",0.034,268,9,7.8,5.43,4.4,3.15,2.66,4.09,3.51,2.09,2.25,1.9,8.08,161,14,"yes",277
"R135248","Anilios","australis",-33.85,114.98,"taper point","f","WAM","135248","WAM_R135248",0.03,322,9,4.4,8.07,5.47,3.9,3.15,4.51,4.7,2.35,2.76,2.74,8.09,161,14,"yes",331
"R133502","Anilios","australis",-31.993,117.017,"taper point","f","WAM","133502","WAM_R133502",0.026,154,4,3.92,2.62,2.75,2.06,1.68,2.55,2.19,1.09,1.62,1.56,4.98,158,13,,158
"R146051","Anilios","troglodytes",-16.75,123.99,"taper point","f","WAM","146051","WAM_R146051",0.01,315,4,5.69,2.78,3.12,1.79,1.73,2.47,2.09,1.28,1.76,1.39,5.64,290,14,"yes",319
"R146048","Anilios","troglodytes",-16.75,123.985,"taper point","m","WAM","146048","WAM_R146048",0.019,212,4,4.08,2.44,2.67,1.55,1.33,2.29,1.94,1.25,1.7,1.31,5.3,285,15,"yes",216
"R172637","Anilios","troglodytes",-16.32,124.05,"taper point","f","WAM","172637","WAM_R172637",0.01,227,3,3.1,1.98,2.3,1.53,1.36,2.15,1.89,1.06,1.52,1.1,4.91,282,13,"yes",230
"R102560","Anilios","ammodytes",-23.096,116.01,"taper point","f","WAM","102560","WAM_R102560",0.019,211,4,3.64,2.2,2.43,1.5,1.3,1.65,1.98,1.01,1.12,1.08,5.08,209,13,"yes",215
"R102550","Anilios","ammodytes",-23.08,115.79,"taper point","f","WAM","102550","WAM_R102550",0.02,211,4,4.14,2.29,2.49,1.95,1.62,2.25,1.93,1.18,1.2,1.36,5.27,215,12,"yes",215
"R108831","Anilios","ammodytes",-20.783,116.85,"taper point","f","WAM","108831","WAM_R108831",0.02,251,5,4.62,2.55,3,1.98,1.79,2.6,2.4,1.14,1.5,1.38,5.67,209,11,"yes",256
"R124837","Anilios","ammodytes",-20.42,118.83,"taper point","m","WAM","124837","WAM_R124837",0.06,181,10,3.75,3.57,2.26,1.68,1.44,1.78,1.83,0.99,1.4,1.07,4.59,,,,191
"R110290","Anilios","ammodytes",-22.676,119.841,"taper point","m","WAM","110290","WAM_R110290",0.045,178,8,3.28,2.26,2.19,1.38,1.11,1.91,1.74,1.02,1.19,1.02,4.81,198,14,"yes",186
"R102496","Anilios","ammodytes",-23.38,115.88,"taper point","f","WAM","102496","WAM_R102496",0.02,235,4,3.78,1.89,2.48,1.71,1.27,2.17,2.14,1.15,1.25,1.2,5.41,,,"yes",239
"R111957","Anilios","ammodytes",-22.701,120.737,"taper point","f","WAM","111957","WAM_R111957",0.026,196,5,3.45,2.02,2.09,1.4,1.03,1.77,1.72,0.93,1.23,1.05,4.55,,,"yes",201
"R110035","Anilios","ammodytes",-20.79,116.86,"taper point","m","WAM","110035","WAM_R110035",0.03,203,7,4.51,2.82,2.61,1.66,1.49,2.31,2.02,1.15,1.48,1.29,5.42,194,14,"yes",210
"R100453","Anilios","ammodytes",-22.329,122.064,"taper point","f","WAM","100453","WAM_R100453",0.013,298,4,3.86,2.58,2.77,1.76,1.52,2.34,2.44,1.23,1.33,1.33,5.43,231,13,"yes",302
"R111995","Anilios","ammodytes",-22.61,120.73,"taper point","f","WAM","111995","WAM_R111995",0.02,227,5,3.58,2.2,2.67,1.65,1.45,2.06,1.9,1.12,1.41,1.13,4.74,204,14,"yes",232
"R97337","Anilios","hamatus",-28.533,115.517,"taper point","f","WAM","97337","WAM_R97337",0.023,301,7,6.29,5.03,4.24,3.01,2.44,3.18,4.01,2.17,2.37,2.25,7.64,187,10,"yes",308
"R81525","Anilios","hamatus",-28.43,122.95,"taper point","f","WAM","81525","WAM_R81525",0.03,332,9,7.24,4.88,4.88,3.28,2.62,3.7,4.5,2.39,2.69,2.42,6.85,189,9,"yes",341
"R101234","Anilios","hamatus",-28.783,115.75,"taper point","f","WAM","101234","WAM_R101234",0.022,226,5,5.28,3.95,3.79,2.48,2.28,3.39,3.44,1.68,2.09,1.71,6.67,178,13,"yes",231
"R72899","Anilios","hamatus",-29.26,122.4,"taper point","m","WAM","72899","WAM_R72899",0.03,242,7,4.2,4.16,3.45,2.19,2.03,2.9,3.58,1.7,1.43,1.68,5.27,,,"yes",249
"R96639","Anilios","hamatus",-28.933,116.283,"taper point","m","WAM","96639","WAM_R96639",0.046,240,11,6.16,4.77,3.73,2.37,2.07,3.24,3.42,1.77,2.37,2.49,6.69,,,"yes",251
"R110955","Anilios","hamatus",-27.25,120.76,"taper point","m","WAM","110955","WAM_R110955",0.04,289,11,7.08,5.73,4.92,3.43,2.59,3.77,4.86,2.14,2.53,2.48,7.91,171,12,"yes",300
"R111862","Anilios","hamatus",-23.536,120.326,"taper point","f","WAM","111862","WAM_R111862",0.021,242,5,6.07,3.78,3.4,2.16,1.96,2.79,3.53,1.63,1.95,1.54,6.02,185,11,"yes",247
"R111763","Anilios","hamatus",-23.37,120.46,"taper point","m","WAM","111763","WAM_R111763",0.04,237,9,5.34,3.9,3.38,2.42,2,3.18,3.59,1.68,2.18,2.01,5.79,,,"yes",246
"R110956","Anilios","hamatus",-26.97,120.615,"taper point","f","WAM","110956","WAM_R110956",0.027,294,8,5.59,5.27,4.68,3.14,3.07,3.57,4.39,2.27,2.57,2.13,7.59,,,"yes",302
"R110954","Anilios","hamatus",-26.98,120.64,"taper point","m","WAM","110954","WAM_R110954",0.04,241,10,4.73,4.97,3.85,2.81,2.21,3.62,4.14,1.9,2.31,1.93,6.81,,,"yes",251
"R145759","Anilios","grypusW",-21.94,118.961,"black taper point","m","WAM","145759","WAM_R145759",0.031,292,9,3.18,2.74,2.1,1.48,1.08,1.85,1.92,1.06,1.04,1.15,4.07,341,25,"yes",301
"R146673","Anilios","grypusW",-21.06,118.75,"black taper point","f","WAM","146673","WAM_R146673",0.01,386,5,4.75,3.12,2.13,1.46,1.39,2.11,2.44,1.01,1.26,1.18,4.48,386,11,"yes",391
"R176517","Anilios","grypusW",-22.215,114.085,"black taper point","f","WAM","176517","WAM_R176517",0.043,326,14,4.71,3.1,2.7,2.1,1.52,2.4,2.71,1.63,1.56,1.41,4.58,282,23,"yes",340
"R173075","Anilios","grypusW",-23.28,122.82,"black taper point","m","WAM","173075","WAM_R173075",0.05,229,12,3.12,2.28,1.75,1.15,0.99,1.66,1.82,1.06,0.76,1.29,3.55,316,24,"yes",241
"R172603","Anilios","grypusW",-22.692,115.407,"black taper point","f","WAM","172603","WAM_R172603",0.012,340,4,5.46,3.19,2.5,1.96,1.46,2.55,2.95,1.63,1.53,1.59,4.14,297,8,"yes",344
"R108805","Anilios","diversus",-18.94,128.78,"taper point","m","WAM","108805","WAM_R108805",0.04,226,9,3.03,2.52,2.14,1.56,1.17,1.84,1.93,0.96,1.21,1.18,4.46,233,17,"yes",235
"R112027","Anilios","diversus",-17.06,122.717,"taper point","f","WAM","112027","WAM_R112027",0.019,257,5,2.99,2.39,2.82,1.58,1.58,2.05,2.38,1.13,1.54,1.39,5.42,,,"yes",262
"R119543","Anilios","diversus",-15.78,128.78,"taper point","f","WAM","119543","WAM_R119543",0.02,177,4,2.76,1.74,2.12,1.26,1.2,1.62,1.81,0.86,0.9,1,4.33,205,13,"yes",181
"R119542","Anilios","diversus",-15.783,128.783,"taper point","f","WAM","119542","WAM_R119542",0.018,224,4,4.23,2.65,2.33,1.56,1.4,2.12,2.16,1.07,1.17,1.21,4.71,213,9,"yes",228
"R139387","Anilios","pilbarensis",-21.23,120.36,"taper point","m","WAM","139387","WAM_R139387",0.04,241,10,5.28,4.54,3.37,2.15,2.27,2.64,3.48,1.64,1.57,1.58,6.52,,,"yes",251
"R154868","Anilios","pilbarensis",-20.654,120.791,"taper point","f","WAM","154868","WAM_R154868",0.026,309,8,6.84,5.33,4.23,2.65,2.28,3.13,3.69,1.93,2.08,2.09,6.78,202,12,"yes",317
"R110744","Anilios","pilbarensis",-22.57,117.19,"taper point","f","WAM","110744","WAM_R110744",0.03,285,8,4.57,3.97,3.56,2.38,2.42,3.14,3.87,1.66,1.75,1.8,6.64,210,14,"yes",293
"R110734","Anilios","pilbarensis",-22.618,117.181,"taper point","m","WAM","110734","WAM_R110734",0.046,261,12,5.6,4.52,3.94,2.61,2.22,3.28,3.29,1.71,2.05,1.83,6.8,196,18,"yes",273
"R110943","Anilios","pilbarensis",-21.7,116.05,"taper point","f","WAM","110943","WAM_R110943",0.03,337,10,7.26,5.97,4.19,2.64,2.69,3.64,3.99,1.95,2.29,2.08,6.84,208,16,"yes",347
"R110733","Anilios","pilbarensis",-22.613,117.188,"taper point","f","WAM","110733","WAM_R110733",0.025,315,8,7.37,5.03,4.11,2.78,2.75,3.52,3.94,2.17,2.87,1.97,8,194,16,"yes",323
"R112734","Anilios","pilbarensis",-21.27,120.46,"taper point","m","WAM","112734","WAM_R112734",0.04,261,10,5.86,4.68,3.43,2.4,2.12,2.88,3.48,1.72,1.96,1.49,6.65,193,20,"yes",271
"R110940","Anilios","pilbarensis",-21.671,115.962,"taper point","f","WAM","110940","WAM_R110940",0.03,302,9,5.31,3.96,3.72,2.46,2.49,3.08,3.46,1.99,1.58,1.8,6.13,205,14,"yes",311
