"reg_no","genus","species","latitude","longitude","tail_shape","sex","institution","plain_number","id","ratio","svl","tail_length","midbody_diameter","midtail_diameter","head_width","head_depth","ant_nostril_to_ant_eyes","distance_between_eyes_closest","distance_from_forehead_between_eyes_to_snout","lower_lip_to_snout","mouth_width","tip_of_mouth_to_head_depth","headlength_xray","precloacal_vert","postcloacal_vert","confidence","total_length"
"J88951","Anilios","unguirostris",-16.66,139.18,"pointy","m","QM","88951","QM_J88951",0.03,318.5,8,5.835,5.02,4.115,3.11,2.205,2.565,3.56,1.945,2.36,2.1,7.53,204,10,"yes",326.5
"J96911","Anilios","unguirostris",-23.233,150.699,"pointy","f","QM","96911","QM_J96911",0.014,294,4,6.34,3.165,3.97,2.935,2.745,2.685,3.965,2.12,1.715,2.195,7.78,209,10,"tail",298
"R.148795","Anilios","proximus",-17.38,145.38,"pointy","f","AM","148795","AM_R.148795",0.02,481,11,12.69,9.53,7.83,5.2,4.16,5.715,6.36,2.97,3.42,4.255,12.116,187,13,"yes",492
"R.12125","Anilios","pinguis",-34.03,117.63,"pointy","f","AM","12125","AM_R.12125",0.03,427,11,17.815,9.065,9.275,6.37,4.335,6.53,6.75,3.155,3.53,4.26,13.462,151,11,"yes",438
"R.41163","Anilios","ligatusE",-30.75,148.67,"pointy","f","AM","41163","AM_R.41163",0.03,350,10,16.32,9.55,9,7.76,3.665,5.61,4.73,2.88,5.845,4.475,11.336,155,14,"yes",360
"R.63835","Anilios","ligatusE",-18.2,144.78,"pointy","f","AM","63835","AM_R.63835",0.03,386,12,15.835,9.965,8.325,6.785,4.23,5.62,5.715,2.99,4.42,4.22,12.799,155,13,"yes",398
"R.118650","Anilios","proximus",-34.55,146.4,"pointy","f","AM","118650","AM_R.118650",0.02,359.5,7,11.785,8.54,7.175,5.965,3.77,4.955,5.89,2.51,4.14,3.755,10.882,168,11,"yes",366.5
"R.174275","Anilios","proximus",-30.77,149.758,"pointy","m","AM","174275","AM_R.174275",0.04,289.5,13,11.17,9.1,6.455,5.095,3.58,4.685,5.425,2.58,3.365,3.345,10.996,154,17,"yes",302.5
"R.27306","Anilios","pinguis",-33.53,118.5,"pointy","f","AM","27306","AM_R.27306",0.04,284.5,11.75,14.23,9.415,7.835,6.26,4.135,5.52,6.14,2.715,4.305,3.725,11.93,143,13,"yes",296.25
"R.163332","Anilios","proximus",-35.11,147.299,"pointy","f","AM","163332","AM_R.163332",0.02,299.5,6.25,8.39,5.235,5.77,4.115,2.805,3.69,4.685,2.305,3.235,3.235,8.821,166,13,"yes",305.75
