"reg_no","genus","species","latitude","longitude","tail_shape","sex","institution","plain_number","id","ratio","svl","tail_length","sh_mbd","sh_mtw","sh_hwe","sh_hda","sh_hd","sh_tl","PC1","PC2","PC3","log_svl","log_tail"
"R20439","Anilios","Anilios guentheri",-15.47,128.1,"round to point, small spur","f","SAM","20439","SAM_R20439",0.012,245,3,-4.74045238151097,-5.20858859658191,-4.8969422436914,-5.31063785093608,-5.2543981326132,-4.40264592187662,-4.60858709741867,0.796851931402108,-0.941208185154577,5.50125821054473,1.09861228866811
"R53885","Anilios","Anilios guentheri",-17.83,125.37,"round to point, small spur","m","SAM","53885","SAM_R53885",0.02,258,5,-4.50564059064106,-4.74648371905467,-4.70709131734401,-5.32184786395823,-5.04013595849295,-3.94352167248752,-2.9196270136699,-0.0776482525024353,-0.311046758235981,5.55295958492162,1.6094379124341
"R29495","Anilios","Anilios hamatus",-28.62,121.53,"round to point, small spur","m","SAM","29495","SAM_R29495",0.041,270,11,-3.90832614354682,-4.13285441698398,-4.18987698894366,-4.89532444758526,-4.53026887781497,-3.2005266862,1.06064643976789,-0.895716306621423,-0.101406899315594,5.59842195899838,2.39789527279837
"R50","Anilios","Anilios ligatusE",-27.47,152.58,"taper to a point, pointy spur","f","SAM","50","SAM_R50",0.03,290,9,-3.49285905296182,-4.05844500788375,-3.77076293543197,-4.69155480018691,-4.16136892913638,-3.4726563456443,2.82854700916383,0.424382586850632,-0.14224328932882,5.66988092298052,2.19722457733622
"R920","Anilios","Anilios ligatusE",-29.43,147.98,"taper to a point, pointy spur","f","SAM","920","SAM_R920",0.027,365,10,-3.28469370284663,-3.91751752474579,-3.87570428613313,-4.570173343951,-4.1664734613674,-3.59731226058845,3.20521506902797,0.814931895751955,0.327117474128693,5.89989735358249,2.30258509299405
"R921","Anilios","Anilios ligatus",,,"taper to a point, pointy spur","f","SAM","921","SAM_R921",0.03,277,7,-3.25939702227384,-3.75375497547134,-3.97535888059996,-4.47344547858852,-4.29959854878554,-3.67810735713203,3.21799908876353,0.926337716265428,0.659829199686103,5.62401750618734,1.94591014905531
"R3897","Anilios","Anilios ligatusE",-19.6,146.83,"taper to a point, pointy spur","m","SAM","3897","SAM_R3897",0.043,234,10,-3.60529273800567,-3.83593287207043,-3.86608591024112,-4.78749174278205,-4.29530019856095,-3.15273602236366,2.73512478449422,-0.598044266994035,0.234113418096488,5.4553211153577,2.30258509299405
"R31019","Anilios","Anilios ligatusE",-30.18,149.93,"taper to a point, pointy spur","m","SAM","31019","SAM_R31019",0.04,280,12,-3.42651518964645,-3.93004151093082,-3.90136571095416,-4.63784096827764,-4.24350770053832,-3.14988295338125,3.07777886597715,-0.383680449919815,0.146395597822468,5.63478960316925,2.484906649788
"R71387","Anilios","Anilios ligatusE",-19.216,145.428,"taper to a point, pointy spur","m","SAM","71387","SAM_R71387",0.039,230,9,-3.30273013530506,-3.77604894636992,-3.87154889750037,-4.57941768988568,-4.27805839212644,-3.24085473158698,3.43945034056581,-0.114049021522613,0.528893385589275,5.4380793089232,2.19722457733622
"R65743","Anilios","Anilios margaretae",-30.17,131.58,"taper to a point","m","SAM","65743","SAM_R65743",0.02,232,4,-4.47217773166818,-4.87012400736232,-4.82079894079981,-5.30697542929115,-5.01495495524077,-4.06044301054642,-3.20765567798084,0.213793464857161,-0.377427793907235,5.44673737166631,1.38629436111989
